Taman Negara	Geography of Malaysia, National parks in Asia
Maury Wills	1932 births, Living people, Los Angeles Dodgers players, Pittsburgh Pirates players, Montreal Expos players, Sportspeople from Washington, D.C., Seattle Mariners
Serbian Orthodox Church	Eastern Orthodox Church, Serbian culture
Amfilohije Radović	1938 births, 2020 deaths, Deaths from the COVID-19 pandemic, Serbian people, Montenegrin people, Bishops
Stanisław Gazda	1938 births, 2020 deaths, Polish Olympians, Cyclists
Valeriy Babych	1953 births, 2020 deaths, Deaths from the COVID-19 pandemic, Ukrainian politicians, Ukrainian businesspeople, Economists
Options Clearing Corporation	Finance, Companies based in Chicago, Illinois
Day-Time Wife	1939 movies, 1930s comedy movies, American comedy movies, Movies directed by Gregory Ratoff, English-language movies, 20th Century Fox movies
Kiilu Nyasha	Journalists from California, American civil rights activists, Writers from San Francisco, Writers from New York City, 1939 births, 2018 deaths
1955–56 European Cup	UEFA Champions League, 1955 in sports, 1956 in sports, 1956 in Europe
F91 Dudelange	1991 establishments in Europe, Sport in Luxembourg, Football clubs
People's Action Party	Political parties in Asia, Singapore
Consumer goods	Economics
Tom Hulce	1953 births, American movie actors, American stage actors, American voice actors, Gay men, Actors from Detroit, Michigan, Living people
Van Helsing (video game)	2004 video games, PlayStation 2 games, Van Helsing (Universal Pictures franchise), Video games set in Paris, Xbox games
Peter Parker (Sam Raimi movie series)	Fictional characters introduced in 2002, Fictional orphans, Marvel Comics mutates, Marvel Comics superheroes, Spider-Man (2002 movie series), Spider-Man movie characters
Norman Osborn (Sam Raimi movie series)	Fictional business executives, Fictional characters introduced in 2002, Marvel Comics mutates, Marvel Comics supervillains, Spider-Man (2002 movie series), Spider-Man movie characters, Video game bosses
Clank (Ratchet & Clank)	Fictional characters introduced in 2002, Fictional robots, Ratchet & Clank characters
1956–57 European Cup	UEFA Champions League, 1956 in sports, 1956 in Europe, 1957 in Europe
Doctor Sleep (novel)	American novels, Books by Stephen King, Horror novels
Gaet'ale pond	Bodies of water of Africa, Ponds, Ethiopia
Shō Tai	Ryukyuan people, Stubs, Ryukyuan monarchs
I've Just Seen a Face	The Beatles songs, 1965 songs
Gunnar Fischer	1910 births, 2011 deaths, Cinematographers, Swedish children's writers
It's Only Love	The Beatles songs, 1965 songs
Day Tripper	The Beatles songs, 1965 songs, Songs about drugs
Boops boops	Perciformes
Barricade (1939 movie)	1939 movies, 1930s adventure movies, American adventure movies, 20th Century Fox movies, Movies directed by Gregory Ratoff, Movies set in China
Crease (cricket)	Cricket, Sports words
Second Fiddle (1939 movie)	1939 movies, 1930s musical movies, American musical movies, 20th Century Fox movies, Movies directed by Sidney Lanfield
Erland Brand	Swedish artists, 1922 births, 2020 deaths
Inga Brand	1929 births, Living people, Swedish painters, People from Gothenburg
David Scondras	1946 births, 2020 deaths, Politicians from Boston, Massachusetts
Frits Niessen	1936 births, 2020 deaths, Dutch teachers, Former members of the House of Representatives of the Netherlands, Labour Party (Netherlands) politicians, Politicians from North Brabant
Angelika Amon	1967 births, 2020 deaths, Austrian scientists, American biologists, Naturalized citizens of the United States, Scientists from Vienna, Scientists from Massachusetts, People from Cambridge, Massachusetts, Deaths from ovarian cancer, Cancer deaths in Massachusetts
Valentin Pokrovsky	2020 deaths, 1929 births, Russian scientists
Alexander Vedernikov	1964 births, 2020 deaths, Russian conductors, Deaths from the COVID-19 pandemic in Russia
New Love (Dua Lipa song)	2015 songs, Debut singles, 2010s ballads, Pop ballads, Dua Lipa songs
Jan Myrdal	1927 births, 2020 deaths, Deaths from sepsis, Swedish movie directors, Political activists, Writers from Stockholm
Žarko Knežević	1947 births, 2020 deaths, Yugoslavian sportspeople, Basketball players
Ricardo Blume	1933 births, 2020 deaths, Deaths from pneumonia, Deaths from Parkinson's disease, Peruvian entertainers, Mexican movie actors, Mexican television actors, Mexican stage actors, Mexican voice actors, Theatre directors, Actors from Mexico City, People from Lima
Kim Nam-chun	1989 births, 2020 deaths, South Korean footballers, People who committed suicide
Herb Adderley	1939 births, 2020 deaths, Green Bay Packers players, Dallas Cowboys players, American football cornerbacks, Sportspeople from Philadelphia, Pennsylvania
New Rules	2017 songs, Dua Lipa songs, Songs with feminist themes
Józef Zawitkowski	1938 births, 2020 deaths, Polish Roman Catholics, Roman Catholic bishops, Roman Catholic priests
Eternally Yours (movie)	1939 movies, 1930s comedy movies, 1930s drama movies, American comedy-drama movies, Movies directed by Tay Garnett
2020 Aegean Sea earthquake	2020 disasters in Asia, 2020 in Europe, 2020s in Greece, 2020s in Turkey, Earthquakes in Asia, Earthquakes in Europe, Earthquakes in the 2020s, Floods in Asia, İzmir, October 2020 events
Typhoon Molave (2020)	2020 disasters in Asia, 21st century in the Philippines, History of Vietnam, Pacific typhoons, Tropical cyclones in Asia, October 2020 events
Icaria	Islands of Greece
October–November 2020 Polish protests	21st century in Poland, 2020 in Europe, October 2020 events, November 2020 events
Borys Budka	1978 births, Living people, Polish politicians
Litoria mucro	Animals of Oceania, Frogs, Animals of Asia
The Untouchables (movie)	1987 crime movies, Movies composed by Ennio Morricone, Movies directed by Brian De Palma, American crime movies, Movies based on books, English-language movies
The Hunt for Red October (movie)	1990 movies, American spy movies, American thriller movies, Movies with underwater settings, Movies set in Russia, Movies set in Washington, D.C., Movies set in Maine, Movies set in the 1980s, Movies based on books
John McTiernan	1951 births, Living people, Movie directors from New York, Movie producers from New York, Screenwriters from New York, People from Albany, New York
Basil Poledouris	1945 births, 2006 deaths, Emmy Award winners, American composers, American conductors, Musicians from Kansas City, Missouri, Writers from Kansas City, Missouri, Deaths from lung cancer, Cancer deaths in Los Angeles
Helmut Bakaitis	1944 births, Living people, German movie directors, German movie actors, German television actors, German stage actors, German screenwriters, Australian movie directors, Australian screenwriters, Australian stage actors, Australian television actors, Australian movie actors, Australian educators, German educators, Naturalised citizens of Australia
Charles Martin Smith	1953 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, American television writers, American television directors, Actors from Los Angeles, California, Movie directors from Los Angeles, California, Screenwriters from Los Angeles, California
Eliot Ness	1903 births, 1957 deaths, Deaths from myocardial infarction, American police officers, Politicians from Chicago, Politicians from Cleveland, Ohio, US Republican Party politicians
Génération identitaire	Political movements
Gotham Girls	2000 American television series debuts, 2002 American television series endings, 2000s LGBT television series, American LGBT television programs, DC Animated Universe, Supervillain television shows
Jennifer Hale	1965 births, American movie actors, American television actors, American video game actors, American voice actors, Canadian movie actors, Canadian television actors, Canadian voice actors, People from Newfoundland and Labrador, Living people
Jeff Zucker	1965 births, Living people, Businesspeople from Florida, Businesspeople from New York City, CNN people
Maria Bakalova	1996 births, Living people, Bulgarian people, Movie actors, Television actors
Sittard-Geleen	2001 establishments in the Netherlands, Sittard-Geleen
Vaals	Settlements in Limburg (Netherlands), Municipalities of Limburg (Netherlands)
Robert Wells (Canadian politician)	1933 births, 2020 deaths, Canadian politicians, Canadian lawyers, Canadian judges, People from Newfoundland and Labrador
Carrie Johnson	1988 births, Living people, Conservative Party (UK) people, English activists, English Roman Catholics, Environmentalists, People from London, Political activists, Socialites, Spouses of Prime Ministers of the United Kingdom
Lene Bausager	Movie producers
Phantom of Heilbronn	Unidentified serial killers
Ezio Auditore da Firenze	Assassin's Creed, Fictional characters introduced in the 2000s, Fictional Italian people, Soulcalibur series guest characters, Video game characters
Abe (Oddworld)	Fictional characters introduced in 1997, Oddworld, Video game protagonists
Reptile (Mortal Kombat)	Fictional characters introduced in 1992, Mortal Kombat characters, Video game characters in movies
Shao Kahn	Fictional characters introduced in 1993, Fictional mass murderers, Mortal Kombat characters, Video game bosses, Video game characters in movies
Shang Tsung	Fictional characters introduced in 1992, Fictional characters with slowed ageing, Fictional shapeshifters, Mortal Kombat characters, Video game bosses, Video game characters in movies
Racism in Thailand	Racism, Thailand
Yu-Gi-Oh! GX Tag Force 2	PlayStation Portable games, Video games developed in Japan, 2007 video games
Horacio Serpa	1943 births, 2020 deaths, Deaths from colorectal cancer, Deaths from pancreatic cancer, Colombian politicians
Good luck charm	Folklore, Superstitions
David Shutt, Baron Shutt of Greetland	1942 births, 2020 deaths, Politicians from Yorkshire, People from Leeds
Archie Spigner	1928 births, 2020 deaths, Politicians from South Carolina, Politicians from New York City, US Democratic Party politicians
Najmiddin Karim	1949 births, 2020 deaths, Iraqi politicians
Alexander De Croo	1975 births, Living people, Belgian businesspeople, Belgian mayors, Current national leaders, Flemish politicians, Government ministers of Belgium, Open Vlaamse Liberalen en Democraten politicians, People from Flemish Brabant, Prime Ministers of Belgium
Arturo Lona Reyes	1925 births, 2020 deaths, Deaths from the COVID-19 pandemic in Mexico, Mexican people, Roman Catholic bishops
Rudolf Zahradník	1928 births, 2020 deaths, Czech scientists, Chemists
Marius Žaliūkas	1983 births, 2020 deaths, Deaths from motor neurone disease, Lithuanian sportspeople, Footballers
The Crown (TV series)	2016 American television series debuts, Netflix original shows, English-language television programs
Tobias Menzies	1974 births, Living people, Satellite Award winners, English movie actors, English television actors, English stage actors, English voice actors, Actors from London
Vanessa Kirby	1988 births, Living people, BAFTA Award winning actors, English movie actors, English stage actors, English television actors, English voice actors, Actors from London, Alumni of the University of Exeter
