Hammered dulcimer	Early musical instruments
Carlos Del Toro	Living people, Businesspeople from New York City, Politicians from New York City, American military people, Cuban military people, Naturalized citizens of the United States, Cuban politicians, 1961 births, United States Secretaries of the Navy
Indian Pariah dog	Dog breeds, Pakistan, Indian culture, Working dogs
Maya Wiley	1964 births, Living people, American lawyers, American civil rights activists, American academics, American political commentators, Politicians from New York City, Businesspeople from New York City, Writers from New York City, People from Syracuse, New York, US Democratic Party politicians
Jack Elam	1920 births, 1991 deaths, American movie actors, American television actors, Disease-related deaths in Oregon, Actors from Arizona
Mike de Seve	1966 births, American voice actors, Living people
Pakola	National symbols of Pakistan, Soft drinks, Pakistani culture
Gwendolyn Göbel	German actors, Living people
Americans in India	Ethnic groups in India
Т-34	Tanks
Alain Paul Lebeaupin	1945 births, 2021 deaths, French Roman Catholics, Roman Catholic archbishops, Deaths from myocardial infarction
Med Reventberg	1948 births, 2021 deaths, Swedish movie actors, Swedish television actors, Swedish stage actors, Swedish movie directors
Sivan (cinematographer)	1932 births, 2021 deaths, Movie directors
The Last Vermeer	2019 drama movies, American drama movies, Movies based on books
Silence (2016 movie)	2016 drama movies, American drama movies, British drama movies, Italian drama movies, Japanese movies, Mexican movies, Taiwanese movies, Movies based on books, Movies directed by Martin Scorsese
Incunable	Printing, Medieval literature
Mandalay Pictures	Movie studios, 1995 establishments in California
Anna Dianova	Artists, Conceptual artists, Painters, Models, Living people
Indie Book Awards	2007 establishments in the United States, Literary awards
Leaders of South Vietnam	Vietnamese politicians, Heads of government
Albert del Rosario	Living people, People from Manila, 1939 births, Filipino politicians
Mike Brooks (journalist)	1955 births, 2021 deaths, American television reporters and correspondents, American police detectives, Metropolitan Police Department of the District of Columbia officers, CNN people
Gerry Alanguilan	1968 births, 2019 deaths, Filipino writers
Brian London	1934 births, 2021 deaths, British boxers
S&P 500	1957 establishments in the United States, Stock market
Iznasen (Berber tribe)	Ethnic groups in Africa
National Museum, New Delhi	Buildings and structures in India, National symbols of India, New Delhi, National museums in Asia, 1949 establishments in Asia, 1940s establishments in India
Janeshwar Mishra Park	Parks, National symbols of India
Jawaharlal Nehru Stadium (Delhi)	Buildings and structures in India, New Delhi, Stadiums in Asia, National symbols of India, Commonwealth Games
India Gate	Buildings and structures in India, National symbols of India, Monuments and memorials
Gandhi Smriti	Buildings and structures in India, National symbols of India, New Delhi, Monuments and memorials, 1973 establishments in Asia, 1970s establishments in India
Ajmer Sharif Dargah	Buildings and structures in India, Islam, Muslims, Rajasthan
Veena	Musical instruments, National symbols of India
Indian Spitz	Dog breeds, National symbols of India
Scottish National Gallery	Art museums in the United Kingdom, Buildings and structures in Scotland
Ulrich von Hutten	German poets
Sebastian Brant	1457 births, 1521 deaths, German writers, Humanists, People from Strasbourg
From Hell to Hell	1997 drama movies, Belarusian movies, German drama movies, Russian movies
Skórcz	Towns in Poland
Giżycko	Towns in Poland
Leatherhead	Towns in Surrey
Kwidzyn	Towns in Poland
Ostróda	Towns in Poland
Google Sites	Google
Ełk	Towns in Poland
Garam masala	Spices, Food ingredients
Roisel	Communes in Somme
Rollot	Communes in Somme
Perloz	Settlements in Valle d'Aosta
Pollein	Settlements in Valle d'Aosta
Rouvrel	Communes in Somme
Rouvroy-en-Santerre	Communes in Somme
Pont-Saint-Martin, Aosta Valley	Settlements in Valle d'Aosta
Engaño a primera vista	2016 movies, Bolivian movies
Pont-l'Évêque, Oise	Communes in Oise
Gümüşhane	Cities in Turkey
Düzce	Cities in Turkey
Hakkâri	Cities in Turkey
Giresun	Cities in Turkey
Adapazarı	Cities in Turkey
They Came to Conquer... Uranus	1995 albums, Punk albums
Isparta	Cities in Turkey
Baby(a)lone	2015 drama movies, Luxembourgian movies, Belgian movies
Jack Ingram (racing driver)	1936 births, 2021 deaths, American racecar drivers, NASCAR drivers, Sportspeople from North Carolina, People from Asheville, North Carolina
Stephen Dunn	1939 births, 2021 deaths, American poets, American academics, Writers from New York City, Writers from Maryland, Deaths from Parkinson's disease, Pulitzer Prize winners
Tuple names	Words
Boana crepitans	Frogs, Animals of South America
Delcambre, Louisiana	Towns in Louisiana
P-Kara	PlayStation Portable games, PlayStation Portable-only games, 2006 video games, Music video games, Japan exclusive video games, Action video games, Sony Interactive Entertainment games, Video games developed in Japan
Denizli	Cities in Turkey
Mardin	Cities in Turkey
Carpi	Cities in Emilia-Romagna
AnyTo	Software
Bagni di Lucca	Settlements in Tuscany
Rouy-le-Grand	Communes in Somme
Rouy-le-Petit	Communes in Somme
Back in Trouble	1997 action movies, 1997 comedy movies, 1990s sequel movies, Luxembourgian movies, German comedy movies, Movies directed by Andy Bausch
Flag of Rhodesia	National flags
Hua Chunying	1970 births, Living people, Chinese diplomats
Burmeister's tree frog	Frogs, Animals of South America
Boana jaguariaivensis	Frogs, Animals of South America
Deepfrozen	2006 comedy movies, Luxembourgian movies, Swiss movies, Austrian movies, Movies directed by Andy Bausch
Viva Belarus!	2012 drama movies, Belarusian movies, Polish movies, Movies directed by Krzysztof Łukaszewicz
Women (1997 movie)	1997 drama movies, 1997 romance movies, 1990s romantic drama movies, Luxembourgian movies, Belgian movies, French drama movies, French romance movies, Portuguese movies, Spanish movies, Swiss movies, Movies directed by Luís Galvão Teles
Bangladesh National Museum	Buildings and structures in Bangladesh, Bangladeshi culture, Dhaka, National museums in Asia, 1913 establishments in Asia, Buildings and structures completed in the 20th century
National Library of Bangladesh	Buildings and structures in Bangladesh, Bangladeshi culture, Dhaka, National libraries in Asia, 1973 establishments in Asia, 1970s establishments in Bangladesh, Buildings and structures completed in the 20th century
Caramel (movie)	2007 comedy-drama movies, 2000s LGBT movies, Lebanese movies, French comedy movies, French drama movies, Movies directed by Nadine Labaki
Mausoleum of three leaders	Buildings and structures in Bangladesh, Dhaka, 1960 establishments in Asia, 20th century establishments in Pakistan, History of Pakistan
Virgil Abloh	1980 births, Living people, Businesspeople from Illinois
Dacca Stadium	Stadiums in Asia, Dhaka, History of Pakistan, Buildings and structures in Bangladesh
Marianne North	1830 births, 1890 deaths, British biologists
Brian Bamford	1935 births, 2021 deaths, Golfers, Sportspeople from Surrey
Dozy Mmobuosi	Living people, Nigerian businesspeople
Adwoa Aboah	1992 births, British activists, British feminists, British models, Living people, People from London
Lahore Stadium	Stadiums in Asia, Punjab (Pakistan), Buildings and structures in Lahore
Nihari	Pakistani food, Pakistani culture, Lahore, Punjab (Pakistan), Karachi, National symbols of Pakistan
Quaid-e-Azam House	1985 establishments in Asia, National symbols of Pakistan, Karachi, Museums in Pakistan
Quaid-e-Azam Residency	1892 establishments, National symbols of Pakistan, Balochistan (Pakistan), Museums in Pakistan
Tomb of Allama Iqbal	Buildings and structures in Lahore, 1950 establishments in Asia
Islamic summit minar	National symbols of Pakistan, Towers in Asia, Islamic organizations, Buildings and structures in Lahore, Pakistani culture
Rubempré	Communes in Somme
Rubescourt	Communes in Somme
Rumigny, Somme	Communes in Somme
Saigneville	Communes in Somme
Shrine of Baba Farid	Pakpattan District, Punjab (Pakistan), Shrines, National symbols of Pakistan, Patron saints, Tombs
Pakistan Monument	National symbols of Pakistan, Pakistani culture, Buildings and structures in Islamabad
Teen Talwar	National symbols of Pakistan, Buildings and structures in Karachi, Pakistani culture
Madhabpur Lake	Bangladesh, National symbols of Bangladesh
Pakistani Shepherd Dog	Dog breeds, Pakistan, Azad Kashmir, Punjab (Pakistan), Working dogs
Rouze	Communes in Ariège
Matemale	Communes in Pyrénées-Orientales
Hazelnut butter	Nut butters
Formiguères	Communes in Pyrénées-Orientales
Vendres	Communes in Hérault
Mercedes-Benz Stadium	21st-century establishments in Georgia (U.S. state), 2017 establishments in the United States, Buildings and structures in Georgia (U.S. state), Sports in Atlanta, Georgia, Football stadiums in the United States
Queen Kong (1976 movie)	British horror movies, Monster movies, 1976 movies, Giant gorilla movies, Parody movies, Movies about dinosaurs, Movies set in London
Nagarparkar Jain Temples	World Heritage Sites in Pakistan, Religion in Pakistan, Sindh, History of Pakistan, Jainism
Sailly-Laurette	Communes in Somme
Sailly-le-Sec	Communes in Somme
Ada Ehi	1987 births, Living people, Nigerian singers
Ayokunle Ayoko	1982 births, Living people, Nigerian businesspeople
Urban contemporary gospel	Music genres
Dan Price	1984 births, Living people, American businesspeople
The Best American Poetry	Poetry, 1988 establishments in the United States
Nostalgiya	Television channels, Soviet Union
Esperanto language structure	Linguistics, Esperanto
Abdalelah Haroun	1997 births, 2021 deaths, Qatari people, Sudanese people, Olympians, Sprinters, African sportspeople, Road accident deaths
Jon Hassell	1937 births, 2021 deaths, American composers, Trumpeters, Musicians from Memphis, Tennessee
Frederic Rzewski	1938 births, 2021 deaths, American composers, American pianists, Musicians from Massachusetts
Yukhym Zvyahilsky	1933 births, Living people, Prime Ministers of Ukraine
Vasyl Durdynets	1937 births, Living people, Prime Ministers of Ukraine, Ukrainian military people
Valentyn Symonenko	1940 births, Living people, Prime Ministers of Ukraine
Lowell, Michigan	Cities in Michigan
The Lady (1925 movie)	1925 movies, 1920s drama movies, American silent movies, American drama movies, Movies directed by Frank Borzage
A Midsummer Night's Dream (1935 movie)	1935 movies, 1930s fantasy movies, 1930s comedy movies, American fantasy-comedy movies, Movies based on plays, Warner Bros. movies, Movies directed by Max Reinhardt
Sailly-Saillisel	Communes in Somme
Sains-en-Amiénois	Communes in Somme
Saint-Acheul	Communes in Somme
Saint-Aubin-Montenoy	Communes in Somme
Saint-Aubin, Jura	Communes in Jura
Saint-Aubin, Nord	Communes in Nord
Saint-Aubin-d'Aubigné	Communes in Ille-et-Vilaine
Cisai-Saint-Aubin	Communes in Orne
Saint-Aubin-d'Appenai	Communes in Orne
Saint-Aubin-Celloville	Communes in Seine-Maritime
Saint-Aubin, Côte-d'Or	Communes in Côte-d'Or
Saint-Aubin, Essonne	Communes in Essonne
Saint-Aubin-de-Bonneval	Communes in Orne
Gurdwara Darbar Sahib Kartarpur	World Heritage Sites in Pakistan, Religion in Pakistan, Punjab (Pakistan), History of Pakistan, Sikhism
Gunther's banded tree frog	Frogs, Animals of South America
Bai Virbaiji Soparivala Parsi High School	Religion in Pakistan, Sindh, History of Pakistan, Education in Pakistan, Zoroastrianism
Fall by lake with sculpture (Garau)	Paintings
Magain Shalome Synagogue	Religion in Pakistan, Karachi, History of Pakistan, Judaism
Plastic explosives	Explosives
Pap test	Medical tests
Sacred Heart Cathedral, Lahore	British India, Religion in Pakistan, Lahore, History of Pakistan, Christianity
1940 United States presidential election	1940s in the United States, Franklin D. Roosevelt, United States presidential elections
West Yorkshire Police	Law enforcement agencies of the United Kingdom, 1974 establishments in England
Tver	Capital cities in Russia
Smetanova Lhota	Villages in the Czech Republic
