List of regions of Canada	Canada-related lists, Regions of Canada
Knowledge of results	Psychology, Learning
Break Free (song)	2014 songs
Metatarsal bones	Feet, Bones
Michelle Jenneke	1993 births, Living people, Australian athletes, Sportspeople from Sydney
Michael Johns (singer)	1978 births, 2014 deaths, Deaths from cardiomyopathy, American Idol contestants, Australian rock singers, Australian singer-songwriters, Cardiovascular disease deaths in the United States, Deaths from blood clot, Deaths from heart failure, Entertainers from Perth, Western Australia, Soul musicians
Warren Bennis	1925 births, 2014 deaths, American educators, Writers from New York City
Harvey Samuel Firestone	1868 births, 1938 deaths, Deaths from coronary thrombosis, Businesspeople from Ohio
Columbiana, Ohio	Cities in Ohio
House of Representatives of New Zealand	Government of New Zealand
C. K. Fauver	1872 births, 1942 deaths, Deaths from coronary thrombosis, American football coaches, Sportspeople from Ohio
New Zealand Labour Party	Social democratic parties, Political parties in New Zealand, 1916 establishments, Socialist International
Nelson, New Zealand	Cities in New Zealand, 1841 establishments, 1840s establishments in New Zealand
Diocese of Edmonton	Religion in Canada, Alberta, 1913 establishments in North America, 1910s establishments in Canada
Roman Catholic Archdiocese of Edmonton	Religion in Canada, Alberta, 1912 establishments, 1910s establishments in Canada
Andrew Edward McKeever	1894 births, 1919 deaths, Canadian military people, Deaths from cerebral thrombosis, Military personnel of World War I, People from Ontario
Thrombosis	Blood disorders
Al Brady	American murderers, American robbers, Criminals from Indiana, Deaths by firearm in the United States, People from Indianapolis, Indiana, People shot dead by law enforcement officers in the United States, 1910 births, 1937 deaths
Jennifer Morrison	American television actors, American movie actors, Actors from Chicago, 1979 births, Living people
Anne Parillaud	French television actors, French movie actors, Actors from Paris, 1960 births, Living people
Civil disobedience act	Revolutions, Civil disobedience
Miyamoto Musashi	1584 births, 1645 deaths, Philosophers, Japanese martial artists
Osamu Dazai	1909 births, 1948 deaths, Novelists
Barbara Lawrence	Actors from Oklahoma, American movie actors, American television actors, Deaths from renal failure, Disease-related deaths in the United States, 1930 births, 2013 deaths
Patricia Anthony	American novelists, American science fiction writers, Writers from San Antonio, Texas, 1947 births, 2013 deaths
Marian McPartland	1918 births, 2013 deaths, British jazz musicians, English composers, English pianists, Entertainers from Buckinghamshire, Grammy Award winners, Jazz pianists
Swordsmanship	Martial arts, Swords
Barry Diamond	20th century births, Living people, American stand-up comedians, Comedians from New York City
Nina Bawden	1925 births, 2012 deaths, British children's writers, People from Ilford, Writers from Essex
Don Edwards	1915 births, 2015 deaths, American centenarians, American military personnel of World War II, Federal Bureau of Investigation, People from San Jose, California, Stanford University alumni, United States representatives from California, US Democratic Party politicians
The Fighter	2010 drama movies, 2010s biographical movies, American biographical movies, American sports drama movies, Movies directed by David O. Russell
Don Edwards (singer)	1939 births, Living people, American guitarists, Singers from New Jersey, Musicians from New Jersey
Don Edwards San Francisco Bay National Wildlife Refuge	Refugees, Alameda County, California, San Mateo County, California, Santa Clara County, California, 1974 establishments in California
Happy Tears	2009 comedy-drama movies, American comedy-drama movies, American independent movies
Donald E. Edwards	1937 births, 2018 deaths, Deaths from respiratory failure, American military people, US Democratic Party politicians, Politicians from Vermont
Ronald	Given names
The Bounty Hunter (movie)	2010 comedy movies, 2010s action movies, American action comedy movies, Movies directed by Andy Tennant
Indiana, Pennsylvania	Boroughs in Pennsylvania, County seats in Pennsylvania
Rex (dog)	Reagan family, United States presidential pets, Deaths by euthanasia
Rancho del Cielo	Ronald Reagan, Buildings and structures in California, Santa Barbara, California
George Freese	1926 births, 2014 deaths, American baseball players, Detroit Lions players, Pittsburgh Pirates players, Chicago Cubs players, People from Wheeling, West Virginia, Sportspeople from West Virginia
Jaan Arder	1952 births, 2014 deaths, Deaths from cancer, Estonian singers, People from Tallinn
Paul Samuelson	1915 births, 2009 deaths, American economists, American Nobel Prize winners, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, People from Gary, Indiana, Scientists from Indiana
Belmont, Massachusetts	Towns in Massachusetts
Vasculitis	Blood disorders
Delaware, Ohio	Cities in Ohio, County seats in Ohio, 1808 establishments in Ohio
Paul George	1990 births, Living people, African-American basketball players, Indiana Pacers players, Sportspeople from California, People from Fresno, California, American basketball players
Kevin Ware	1993 births, Living people, American basketball players, Sportspeople from New York City
Home to You	1999 albums, John Michael Montgomery albums
Nick Cave and the Bad Seeds	Australian alternative rock bands, Australian heavy metal bands, Musical groups established in 1983
CBS Home Entertainment	Companies based in New York City, Columbia Broadcasting System, Viacom, 2009 establishments in the United States
River Plate Montevideo	Uruguayan football clubs, Montevideo, 1932 establishments in South America, 20th-century establishments in Uruguay
Bill Moyers	1934 births, Living people, American political commentators, White House Press Secretaries, American journalists, American television presenters, Writers from Oklahoma
Thomas Delahanty	1934 births, Living people, American crime victims, American police officers, People from Pittsburgh, Pennsylvania
Timothy McCarthy	1949 births, Living people, American crime victims, American police officers, People from Chicago
Jerry Parr	1930 births, 2015 deaths, American police officers, Cardiovascular disease deaths in Washington, D.C., Deaths from congestive heart failure, People from Montgomery, Alabama
James Thompson (author)	1964 births, 2014 deaths, Finnish people, Writers from Kentucky
Miangul Aurangzeb	1928 births, 2014 deaths, Pakistani politicians, Civil servants
Trainspotting (movie)	1996 crime movies, 1990s black comedy movies, 1996 comedy-drama movies, 1990s criminal comedy movies, 1990s crime drama movies, British comedy-drama movies, British criminal comedy movies, British crime drama movies, Edinburgh, English-language movies, Movies about drugs, Movies based on books, Movies set in London, Movies set in Scotland, Movies set in the 1980s
Kelly Macdonald	1976 births, Living people, Actors from Glasgow, Emmy Award winning actors, Scottish movie actors, Screen Actors Guild Award winners
IPad (3rd generation)	IPad
IPad Mini (1st generation)	IPad, Tablets released in 2010s
Jersey Shore shark attacks of 1916	1916 in the United States, 20th century in New Jersey
Raymond Davis, Jr.	1914 births, 2006 deaths, American academics, American chemists, American Nobel Prize winners, American physicists, Deaths from Alzheimer's disease, Scientists from Washington, D.C., Wolf Prize winners, Yale University alumni
Riccardo Giacconi	1931 births, 2018 deaths, Naturalized citizens of the United States, American educators, American physicists, Italian scientists, Astrophysicists, People from Genoa, Italian Nobel Prize winners
USS Indianapolis (CA-35)	Naval ships of the United States
USS Chicago (SSN-721)	Naval ships of the United States, Chicago, Illinois
Cleveland, Mississippi	Cities in Mississippi, County seats in Mississippi
Ohio Valley Conference	Ohio Valley Conference, NCAA Division I athletics conferences, 1948 establishments in the United States
2014 WTA Tour	2014 WTA Tour
Cornetfish	Ray-finned fish
Opah	Ray-finned fish
D. T. Suzuki	1870 births, 1966 deaths, Philosophers, Buddhism, Japanese writers, People from Ishikawa Prefecture
Crevalle jack	Fish
Dodge Ram	1980s automobiles, 1990s automobiles, 2000s automobiles, 2010s automobiles
Dodge D Series	1960s automobiles, 1970s automobiles
Nairo Quintana	1990 births, Living people, Colombian cyclists, Tour de France cyclists
Saeed Saleh	1938 births, 2014 deaths, Deaths from bronchopneumonia, Disease-related deaths in Egypt, Egyptian movie actors, Egyptian television actors
Walter Massey	1928 births, 2014 deaths, Actors from Toronto, Canadian movie actors, Canadian stage actors, Canadian television actors, Canadian voice actors, Disease-related deaths in Quebec
Vladimir Orlov	1936 births, 2014 deaths, Deaths from myocardial infarction, Disease-related deaths in Moscow, Russian educators, Russian writers, Soviet writers, Writers from Moscow
Yoshiki Sasai	1962 births, 2014 deaths, Suicides by hanging, Japanese biologists, People from Hyōgo Prefecture
Jesse Leonard Steinfeld	1927 births, 2014 deaths, Deaths from stroke, Surgeon Generals of the United States, Politicians from Pittsburgh, Pennsylvania, US Republican Party politicians
Harold J. Greene	1959 births, 2014 deaths, American murder victims, American military people, People from Boston, Massachusetts
Marilyn Burns	1949 births, 2014 deaths, Deaths from myocardial infarction, Actors from Houston, Texas, Actors from Pennsylvania, American movie actors, American television actors, American voice actors, People from Erie, Pennsylvania
Bernard Lewis	1916 births, 2018 deaths, American centenarians, American historians, English centenarians, English historians, Naturalized citizens of the United States, Writers from London
