Step Up All In	2010s romantic drama movies, American romantic drama movies, 2014 movies
Charlotte Rampling	Actors from Essex, English movie actors, English television actors, 1946 births, Living people, Officers of the Order of the British Empire
Jamison Reeves	American movie actors, Movie directors from Los Angeles, California, Movie producers from Los Angeles, California, Screenwriters from Los Angeles, California, Living people
Kira Kazantsev	Miss America winners, People from San Francisco, 1991 births, Living people
Connie Dion	1918 births, 2014 deaths, American Hockey League players, Canadian ice hockey goaltenders, Canadian military personnel of World War II, Detroit Red Wings players, Disease-related deaths in Quebec, Eastern Hockey League players, Ice hockey people from Quebec, Verdun Maple Leafs (ice hockey) players
Music from Another Dimension!	2012 albums, Aerosmith
Interlaced video	Television technology
Progressive scan	Television technology
Xenon hexafluoride	Noble gas compounds
British Columbia Highway 1	British Columbia, Roads in Canada
Cherry Jones	American television actors, American movie actors, Actors from Tennessee, 1956 births, Living people, Emmy Award winning actors, Drama Desk Award winners, Tony Award winning actors
Hunter River (Western Australia)	Rivers of Western Australia
Josh Gorges	1984 births, Buffalo Sabres players, Canadian ice hockey defencemen, Ice hockey people from British Columbia, Living people, Montreal Canadiens players, People from Kelowna, San Jose Sharks players, American Hockey League players, Memorial Cup winners
Naat	Poetry
Naat Khawan	Poetry
Ones' complement	Binary arithmetics
Club Sporting Cristal	Peruvian football clubs, 1955 establishments, 20th-century establishments in Peru
Mr. Deeds	2002 comedy movies, 2000s romantic comedy movies, American movie remakes, American romantic comedy movies, Columbia Pictures movies, English-language movies, Impact of the September 11 attacks, Movies based on short stories, Movies set in New York City, New Hampshire
West Vancouver	Settlements in British Columbia
Earthenware	Pottery
Taylor Kitsch	1981 births, Actors from British Columbia, Canadian ice hockey forwards, Canadian models, Canadian movie actors, Canadian television actors, Ice hockey people from British Columbia, Living people, People from Kelowna
Working dog	Working dogs
Arnaud Gauthier	French composers, Living people, Year of birth missing (living people)
Lakehurst, New Jersey	1921 establishments in the United States, Boroughs in New Jersey, Ocean County, New Jersey
Silence	Sound
Brazil during World War Two	20th century in Brazil, World War II
Zoni	Soups, Japanese food
Osaka Castle	Castles in Japan, 1629 establishments, 17th century establishments in Japan, 1645 disestablishments, 17th century disestablishments in Japan, 1640s disestablishments in Asia, 1620s establishments in Asia
Momiji manju	Sweet breads, Japanese food
Hagi city	Cities in Japan
Awa Dance Festival	Japanese culture, Festivals, Dance
Hiroshima University	Colleges and universities in Japan, 1949 establishments in Asia, 1940s establishments in Japan
Restless Heart (Whitesnake album)	1997 albums
Umaibou	Japanese food
Shinsengumi	History of Japan
Monjayaki	Japanese food
Sakurajima	Volcanoes of Japan
Gagaku	Japanese music
Battleship Yamato	World War II, Japanese weapons
Born 2 B Blue	1988 albums
Pope Alexander II	Italian popes, People from Milan, Year of birth unknown
Heidi (movie)	1937 movies, 1930s musical movies, 1930s drama movies, American musical movies, American drama movies, Movies directed by Allan Dwan, 20th Century Fox movies
Ipbuk-dong	Subdivisions of South Korea
Relational model	Database modeling
John T. Dorrance	1873 births, 1930 deaths, American chemists, American chief executives, American inventors, Businesspeople from Pennsylvania
Steatoda	Spiders
Scarus ghobban	Perciformes
Vorontsov	Noble families, Russian nobility
Climax community	Ecology, Plants
Uranium mining	Mining, Nuclear energy
Kronk's New Groove	2005 animated movies, 2000s musical movies, 2005 comedy movies, American animated movies, American musical comedy movies, Disney animated movies, Disney direct-to-video movies, English-language movies, Movies set in Peru, Movie spin-offs, Sequel movies, The Emperor's New Groove
List of books about nuclear issues	Books, Nuclear weapons, Nuclear energy
Williamina Fleming	1857 births, 1911 deaths, British astronomers, Scottish scientists
Fleming (crater)	Surface features of the Moon, Impact craters
In Mortal Hands	2009 books, Nuclear energy, Nuclear weapons
Some Hearts	2005 albums
Calling All Stations	1997 albums
Contesting the Future of Nuclear Power	2011 books, Nuclear weapons, Nuclear energy
Carl Öst	1908 births, 1988 deaths, Swedish musicians, Swedish singers
Penthouse	Habitats, Architecture
Alexei Devotchenko	1965 births, 2014 deaths, Russian actors, Activists
Rick Rosas	1949 births, 2014 deaths, Deaths from lung disease, Musicians from Los Angeles, California
Lady Marmalade	1974 songs, Christina Aguilera songs, New Orleans, Louisiana in fiction, Pink songs, R&B songs, Songs about prostitutes
Victor Kostetskiy	1941 births, 2014 deaths, Russian actors, Soviet actors
Tommy Macpherson	1920 births, 2014 deaths, British businesspeople, British military people, People from Edinburgh
Alok Nembang	1973 births, 2014 deaths, People who committed suicide, Nepalese movie directors
Juan Taverna	1948 births, 2014 deaths, Argentine footballers, People from Buenos Aires
Piece of Me	2007 songs, Britney Spears songs
Ernie Vandeweghe	1928 births, 2014 deaths, American physicians, New York Knicks players, Sportspeople from Montreal
Hugo Sánchez Portugal	1984 births, 2014 deaths, Accidental deaths, Mexican footballers, Sportspeople from Madrid, Deaths from carbon monoxide poisoning
Otto Ziege	1926 births, 2014 deaths, German cyclists, Sportspeople from Berlin
Myles Munroe	1954 births, 2014 deaths, Aviation deaths, Bahamian people, Christian ministers, Pentecostals, Writers
Joe Walsh (Irish politician)	1943 births, 2014 deaths, Civil servants, Irish politicians, People from County Cork
Circus (song)	2008 songs, Britney Spears songs, Dance-pop songs
M. V. Raghavan	1933 births, 2014 deaths, Deaths from Parkinson's disease, Indian politicians, Communists
Wayne Goss	1951 births, 2014 deaths, Australian Labor Party politicians, Australian lawyers, Cancer deaths in Queensland, Civil servants, Deaths from brain cancer, Politicians from Queensland
Steve Dodd	1928 births, 2014 deaths, Australian movie actors
Al Renfrew	1920s births, 2014 deaths, Canadian ice hockey players, Sportspeople from Toronto
John Doar	1921 births, 2014 deaths, Deaths from congestive heart failure, American lawyers, American civil rights activists, Businesspeople from Minneapolis, Minnesota
Stroganov family	Russian nobility
Sheremetev	Russian nobility
Universidade do Estado de Minas Gerais	Colleges and universities in Brazil, Minas Gerais, 1989 establishments in Brazil
Dave Manson	1967 births, Canadian ice hockey defencemen, Chicago Blackhawks players, Dallas Stars players, Edmonton Oilers players, Ice hockey people from Saskatchewan, Living people, Montreal Canadiens players, Phoenix Coyotes players, Toronto Maple Leafs players, Winnipeg Jets (1979–96) players, American Hockey League players, International Hockey League (1945–2001) players, Memorial Cup winners
Pete Conacher	1932 births, Canadian ice hockey left wingers, Chicago Blackhawks players, Ice hockey people from Ontario, Living people, New York Rangers players, Sportspeople from Toronto, Toronto Maple Leafs players
Gus Mortson	1925 births, 2015 deaths, Canadian ice hockey defencemen, Chicago Blackhawks players, Detroit Red Wings players, Ice hockey people from Ontario, Stanley Cup champions, Toronto Maple Leafs players, American Hockey League players, International Hockey League (1945–2001) players, Ontario Hockey League players, Memorial Cup winners
John McIntire	1907 births, 1991 deaths, Deaths from emphysema, Deaths from lung cancer, American movie actors, American television actors, Actors from Washington, People from Spokane, Washington
John McLaughlin (host)	1927 births, 2016 deaths, Deaths from prostate cancer, American television personalities, American conservatives, American political writers, American television producers, American political commentators, American Roman Catholics, Politicians from Rhode Island, Writers from Rhode Island, People from Providence, Rhode Island
Mutual Broadcasting System	Media in the United States, American entertainment companies, Peabody Award winners, 1934 establishments in the United States, 1994 disestablishments in the United States
James Meredith	1933 births, Living people, American activists, Writers from Mississippi
Craig Robinson (actor)	1971 births, Living people, American movie actors, American television actors, American voice actors, Television personalities from Chicago, Comedians from Chicago, Actors from Chicago
Miguel de la Madrid	1934 births, 2012 deaths, Deaths from COPD, Deaths from cardiac arrest, Deaths from renal failure, Presidents of Mexico, Colima
Richard E. Grant	1957 births, Living people, Swazi people, British movie actors, British television actors, British voice actors, Actors from London
Sobhuza II	1899 births, 1982 deaths, African people, Kings and queens, Swazi people
Manzini, Eswatini	Cities in Eswatini, Capital cities in Africa
Kajetan Kovič	1931 births, 2014 deaths, Slovenian poets, Slovenian journalists
Super battleship (warship)	World War II, Japanese weapons
Pretty Fly (for a White Guy)	1998 songs, The Offspring songs
Circuit diagram	Diagrams
Rick Wakeman	1949 births, Living people, British keyboardists, English rock musicians, Musicians from Middlesex
Hughie Thomasson	1952 births, 2007 deaths, American rock guitarists, Musicians from Tampa, Florida
Cozy Powell	1947 births, 1998 deaths, English drummers
Luxor Hotel Vegas	Skyscrapers in the United States, Pyramids
Ewa Kopacz	Prime Ministers of Poland, European Union politicians, 1956 births, Living people, Marshals of the Sejm
Hunting Formation	Mesoproterozoic
Katie Stevens	Actors from Connecticut, American Idol contestants, Living people, Year of birth missing (living people)
Essenes	Ancient Israel and Judah
Papa Don't Preach	1986 songs, Madonna songs, Pop songs
La Isla Bonita	Madonna songs, 1986 songs, Pop songs
Into the Groove	Madonna songs, Pop songs, 1985 songs
Freak on a Leash	1999 songs
Blue (Da Ba Dee)	1999 songs
De Havilland Comet	Aircraft
Marge Roukema	1929 births, 2014 deaths, American Calvinists, Deaths from Alzheimer's disease, United States representatives from New Jersey, Politicians from Newark, New Jersey, US Republican Party politicians, People from Wyckoff, New Jersey
Wyckoff, New Jersey	Townships in New Jersey
Frank Gore	1983 births, Living people, San Francisco 49ers players
Warren Clarke	1947 births, 2014 deaths, Deaths from pancreatic cancer, Cancer deaths in England, Actors from Lancashire, English movie actors, English television actors, People from Oldham, Greater Manchester
