Dizzee Rascal	English rap musicians, Grime music artists, Living people, 1984 births
Pleasantville, New York	Villages in New York
Land O' Lakes, Florida	Census-designated places in Florida
Kazimiera Utrata	1932 births, 2018 deaths, Deaths from congestive heart failure, Polish movie actors, Polish television actors, Polish stage actors
Balram Das Tandon	1927 births, 2018 deaths, Deaths from bronchopneumonia, Disease-related deaths in India, Governors of Chhattisgarh
Stu Hart	Hart family members, 1915 births, 2003 deaths, Deaths from stroke, Deaths from pneumonia, Canadian professional wrestlers, Sailors, Canadian philanthropists, Sportspeople from Saskatchewan
Santa Clara County, California	Santa Clara County, California, 1850 establishments in California
Beto O'Rourke	1972 births, Living people, United States representatives from Texas, 2020 United States presidential candidates, Musicians from Texas, Businesspeople from Texas, Politicians from El Paso, Texas, US Democratic Party politicians
Monterey County, California	Monterey County, California, 1850 establishments in California
Eldridge, Alabama	Towns in Alabama
Sipsey, Alabama	Towns in Alabama
Carouge	Municipalities of Geneva, Cities in Switzerland
Jimmy Morales	1969 births, Presidents of Guatemala, Evangelicals, Comedians, Actors, People from Guatemala City, Living people
Franklin County, Maine	19th-century establishments in Maine, 1838 establishments in the United States, Maine counties
Alberta, Alabama	Unincorporated communities in Alabama
Collinsville, Alabama	Towns in Alabama
Chittagong University	Colleges and universities in Bangladesh, Buildings and structures in Bangladesh
Jostaberry	Ribes, Berries
Rómulo Betancourt	1908 births, 1981 deaths, Presidents of Venezuela
Dagmar Havlová	1953 births, Living people, First Ladies, Czech movie actors, Czech stage actors, People from Brno
Jack Lengyel	1935 births, Living people, American football players, American football coaches, Sportspeople from Akron, Ohio
Eduard Uspensky	1937 births, 2018 deaths, Deaths from liver cancer, Russian novelists, Russian screenwriters
The Joy of Painting	1983 television series debuts, 1994 television series endings, Emmy Award winning programs, English-language television programs
Ned Lamont	1954 births, Living people, Governors of Connecticut, American editors, American political activists, Harvard University alumni, Yale University alumni, Politicians from Connecticut, Businesspeople from Connecticut, Politicians from Washington, D.C., US Democratic Party politicians
Mandirajakulon	Villages in Indonesia, Java
Mandirajawetan	Villages in Indonesia, Java
Banjengan	Villages in Indonesia, Java
Kebakalan	Villages in Indonesia, Java
Panggisari	Villages in Indonesia, Java
Candiwulan	Villages in Indonesia, Java
Walt Maddox	1972 births, American Methodists, Living people, American mayors, Politicians from Alabama, People from Tuscaloosa, Alabama, US Democratic Party politicians
Kertayasa	Villages in Indonesia, Java
Purwasaba	Villages in Indonesia, Java
Glempang	Villages in Indonesia, Java
Kebanaran	Villages in Indonesia, Java
Salamerta	Villages in Indonesia, Java
Kaliwungu, Kendal	Districts of Indonesia
Somawangi	Villages in Indonesia, Java
Jalatunda	Villages in Indonesia, Java
Blimbing	Villages in Indonesia, Java
Simbang	Villages in Indonesia, Java
Mark Begich	1962 births, Living people, United States senators from Alaska, American mayors, American lawyers, People from Anchorage, Alaska, US Democratic Party politicians
Ray Tenorio	1965 births, Living people, Lieutenant Governors of Guam, Politicians from Florida, People from Orlando, Florida, US Republican Party politicians
Andria Tupola	1980 births, Living people, Politicians from Hawaii, State legislators of the United States, US Republican Party politicians, American Latter Day Saints
Brad Little	1954 births, Living people, Governors of Idaho, Politicians from Idaho, US Republican Party politicians, Lieutenant Governors of Idaho
Paulette Jordan	1979 births, Living people, Politicians from Idaho, US Democratic Party politicians
Greg Gianforte	1961 births, Living people, United States representatives from Montana, Governors of Montana, American people convicted of assault, Engineers from California, American political writers, Businesspeople from California, Businesspeople from Montana, Writers from California, Writers from Montana, Politicians from San Diego, California, US Republican Party politicians
Laura Kelly	1950 births, Living people, Governors of Kansas, Politicians from New York City, US Democratic Party politicians, Women politicians, Kansas Democrats, 21st-century American politicians
Janet T. Mills	1947 births, Living people, Governors of Maine, American lawyers, Politicians from Maine, US Democratic Party politicians, Women politicians, Women lawyers
Bill Schuette	1953 births, Living people, American lawyers, Politicians from Michigan, People from Midland, Michigan, US Republican Party politicians
Gretchen Whitmer	1971 births, Living people, Governors of Michigan, People from Lansing, Michigan, US Democratic Party politicians, Women politicians
Tim Walz	1964 births, Living people, Governors of Minnesota, United States representatives from Minnesota, Politicians from Nebraska, US Democratic Party politicians, People from Mankato, Minnesota
Jeff Johnson	1966 births, Living people, Politicians from Minnesota, State legislators of the United States, US Republican Party politicians
Steve Sisolak	1953 births, Living people, Governors of Nevada, Businesspeople from Wisconsin, Politicians from Milwaukee, Wisconsin, Politicians from Nevada, Businesspeople from Nevada, US Democratic Party politicians
Michelle Lujan Grisham	1959 births, Living people, Governors of New Mexico, United States representatives from New Mexico, American lawyers, US Democratic Party politicians, Women politicians, Women lawyers
Steve Pearce	1947 births, Living people, Businesspeople from Texas, Businesspeople from New Mexico, Politicians from New Mexico, Politicians from Texas, US Republican Party politicians
Drew Edmondson	1946 births, Living people, American lawyers, Politicians from Oklahoma, Politicians from Washington, D.C., US Democratic Party politicians
Frank Keating	1944 births, Living people, American lawyers, Governors of Oklahoma, Politicians from St. Louis, Missouri, US Republican Party politicians
Bleak House	1850s books, Books by Charles Dickens
Knute Buehler	1964 births, Living people, Johns Hopkins University alumni, Alumni of the University of Oxford, Rhodes scholars, American physicians, Politicians from Oregon, State legislators of the United States, US Republican Party politicians
Scott Wagner	1955 births, Living people, Businesspeople from Pennsylvania, Politicians from Pennsylvania, State legislators of the United States, US Republican Party politicians
Allan Fung	1970 births, Living people, American lawyers, American mayors, People from Providence, Rhode Island, People from Cranston, Rhode Island, Politicians from Rhode Island, US Republican Party politicians
James E. Smith Jr.	1967 births, Living people, American military people, Businesspeople from South Carolina, Politicians from South Carolina, People from Columbia, South Carolina, US Democratic Party politicians, 21st-century American politicians
Kristi Noem	1971 births, Living people, Governors of South Dakota, State legislators of the United States, United States representatives from South Dakota, US Republican Party politicians, Beauty pageant winners, Women politicians
Billie Sutton	1984 births, Living people, Politicians from South Dakota, US Democratic Party politicians
Karl Dean	1955 births, Living people, Mayors of Nashville, Tennessee, American lawyers, People from Sioux Falls, South Dakota, Politicians from South Dakota, US Democratic Party politicians
Bill Lee	1959 births, Living people, Governors of Tennessee, Politicians from Tennessee, Businesspeople from Tennessee, US Republican Party politicians
Mark Gordon (politician)	1957 births, Living people, Governors of Wyoming, Politicians from New York City, US Republican Party politicians
Ron DeSantis	1978 births, Living people, Governors of Florida, American military people, American political writers, United States representatives from Florida, Writers from Florida, Politicians from Jacksonville, Florida, US Republican Party politicians, 21st-century American politicians
Tebet, South Jakarta	Districts of Indonesia
Livingstone	Surnames
Altair	Stars
Sabirabad (city)	Cities in Azerbaijan
Greene County, New York	1800s establishments in New York (state), 1800 establishments in the United States, New York (state) counties
Rosales, Pangasinan	Settlements in the Philippines
Ponte Morandi	Bridges, Genoa
I-35W Mississippi River bridge	History of Minneapolis, Minnesota, 2007 in the United States, Bridges in the United States, Buildings and structures in Minnesota, Transport in Minnesota, Transport disasters in the United States, 1967 establishments in the United States, 1960s establishments in Minnesota
OpenWrt	Computer networking, Operating systems
Grammy Award for Best Rap Album	Grammy Awards
Craig David	1981 births, Atlantic Records artists, Black British musicians, British singers, English singer-songwriters, English singers, Living people, Musicians from Hampshire, People from Southampton
Anna Popplewell	1988 births, English child actors, English movie actors, English television actors, English stage actors, Living people
Greene County, Tennessee	Tennessee counties
Robertson County, Tennessee	Tennessee counties
Franklin County, Iowa	1851 establishments in Iowa, Iowa counties
Colony, Alabama	Towns in Alabama
Cordova, Alabama	Cities in Alabama
Leesburg, Alabama	Towns in Alabama
Cottonwood, Alabama	Towns in Alabama
Chemmanam Chacko	1926 births, 2018 deaths, Indian poets, Deaths from cardiopulmonary arrest, Deaths from Parkinson's disease
Randy Rampage	1960 births, 2018 deaths, Deaths from myocardial infarction, Canadian singers, Musicians from Vancouver
Mike Dunleavy (politician)	1961 births, Living people, Governors of Alaska, Politicians from Alaska, Politicians from Pennsylvania, People from Scranton, Pennsylvania, People from Juneau, Alaska, American educators, State legislators of the United States, US Republican Party politicians
Rita Borsellino	1945 births, 2018 deaths, Deaths from pancreatic cancer, MEPs for Italy, Former MEPs
François Garnier	1944 births, 2018 deaths, Deaths from aortic aneurysm, French Roman Catholics, Bishops
Cambrai	Communes in Nord, Subprefectures in France
Albert Millaire	1935 births, 2018 deaths, Deaths from prostate cancer, Canadian movie actors, Canadian television actors, Canadian stage actors, Actors from Montreal, Canadian theatre directors
Michael Persinger	1945 births, 2018 deaths, American psychologists, Canadian scientists, American educators, People from Ontario, Scientists from Jacksonville, Florida
Yelena Shushunova	1969 births, 2018 deaths, Deaths from pneumonia, Russian gymnasts, Olympic gold medalists, Olympic bronze medalists, Olympic silver medalists
Karin Housley	1964 births, Living people, Politicians from Minnesota, State legislators of the United States, US Republican Party politicians
Bob Hugin	1954 births, Living people, Princeton University alumni, United States Marine Corps personnel, American philanthropists, Businesspeople from New Jersey, Politicians from New Jersey, People from Jersey City, New Jersey, US Republican Party politicians
Troy Balderson	1962 births, Living people, People from Zanesville, Ohio, United States representatives from Ohio, State legislators of the United States, US Republican Party politicians
Benny Andersen	1929 births, 2018 deaths, Danish poets, Danish composers, Pianists, Danish musicians, Songwriters, Novelists
Rush University Medical Center	Hospitals in the United States, Buildings and structures in Chicago, Illinois
