Naohiro Takahara	1979 births, Living people, Footballers from Shizuoka Prefecture, Japan international footballers, J1 League players, J2 League players, J3 League players, Júbilo Iwata players, Urawa Red Diamonds players, Shimizu S-Pulse players, Tokyo Verdy players, SC Sagamihara players, 2006 FIFA World Cup players, 2003 FIFA Confederations Cup players, Footballers at the 2000 Summer Olympics, 2000 AFC Asian Cup players, AFC Asian Cup-winning players
Acqueville, Calvados	Former communes in Calvados
Agy	Communes in Calvados
Aignerville	Former communes in Calvados
Airan	Former communes in Calvados
Amayé-sur-Orne	Communes in Calvados
Amayé-sur-Seulles	Communes in Calvados
Amblie	Former communes in Calvados
Amfreville, Calvados	Communes in Calvados
Anctoville	Former communes in Calvados
Angerville, Calvados	Communes in Calvados
Angoville, Calvados	Former communes in Calvados
Anguerny	Former communes in Calvados
Anisy	Communes in Calvados
Annebault	Communes in Calvados
Arganchy	Communes in Calvados
Argences	Communes in Calvados
Arromanches-les-Bains	Communes in Calvados
Asnelles	Communes in Calvados
Asnières-en-Bessin	Communes in Calvados
Auberville	Communes in Calvados
Aubigny, Calvados	Communes in Calvados
Audrieu	Communes in Calvados
Aunay-sur-Odon	Former communes in Calvados
Auquainville	Former communes in Calvados
Authie, Calvados	Communes in Calvados
Auvillars	Communes in Calvados
Avenay	Communes in Calvados
Balleroy	Former communes in Calvados
Banneville-la-Campagne	Communes in Calvados
Banneville-sur-Ajon	Former communes in Calvados
Banville	Communes in Calvados
Barbery, Calvados	Communes in Calvados
Barbeville	Communes in Calvados
Barneville-la-Bertran	Communes in Calvados
Baron-sur-Odon	Communes in Calvados
Barou-en-Auge	Communes in Calvados
Basly	Communes in Calvados
Basseneville	Communes in Calvados
Bauquay	Former communes in Calvados
Bavent	Communes in Calvados
Bayeux	Communes in Calvados, Subprefectures in France
Bazenville	Communes in Calvados
Beaufour-Druval	Communes in Calvados
Beaulieu, Calvados	Former communes in Calvados
Beaumais	Communes in Calvados
Beaumesnil, Calvados	Communes in Calvados
Beaumont-en-Auge	Communes in Calvados
Bellengreville, Calvados	Communes in Calvados
Bellou	Former communes in Calvados
Benerville-sur-Mer	Communes in Calvados
Bernesq	Communes in Calvados
Bernières-d'Ailly	Communes in Calvados
Bernières-le-Patry	Former communes in Calvados
Bernières-sur-Mer	Communes in Calvados
Beuvillers, Calvados	Communes in Calvados
Beuvron-en-Auge	Communes in Calvados
Billy, Calvados	Former communes in Calvados
Bissières	Former communes in Calvados
Biéville-Beuville	Communes in Calvados
Biéville-Quétiéville	Former communes in Calvados
Blainville-sur-Orne	Communes in Calvados
Blangy-le-Château	Communes in Calvados
Blay	Communes in Calvados
Blonville-sur-Mer	Communes in Calvados
Boissey, Calvados	Former communes in Calvados
Bonnebosq	Communes in Calvados
Bonnemaison	Communes in Calvados
Bonneville-la-Louvet	Communes in Calvados
Bonneville-sur-Touques	Communes in Calvados
Bonnœil	Communes in Calvados
Bons-Tassilly	Communes in Calvados
Bougy	Communes in Calvados
Boulon	Communes in Calvados
Bourgeauville	Communes in Calvados
Bourguébus	Communes in Calvados
Branville	Communes in Calvados
Bretteville-l'Orgueilleuse	Former communes in Calvados
Bretteville-le-Rabet	Communes in Calvados
Bretteville-sur-Dives	Former communes in Calvados
Bretteville-sur-Laize	Communes in Calvados
SR Class 2Wim	British Rail electric multiple units
SR Class 4DD	British Rail electric multiple units
Network SouthEast	British Rail, Thameslink, Rail transport in the United Kingdom, 1982 establishments in England
SR Class 4Lav	British Rail electric multiple units
SR Class 6Pul	British Rail electric multiple units
British Rail Mark 3	High-speed trains, British Rail coaching stock
Desiro	Trains
Electrostar	Bombardier multiple units, Adtranz multiple units, British Rail electric multiple units
Bretteville-sur-Odon	Communes in Calvados
Bricqueville	Communes in Calvados
Brouay	Former communes in Calvados
Brucourt	Communes in Calvados
Brémoy	Communes in Calvados
Bréville-les-Monts	Communes in Calvados
Bucéels	Communes in Calvados
Burcy, Calvados	Former communes in Calvados
Bures-les-Monts	Former communes in Calvados
Bénouville, Calvados	Communes in Calvados
Bény-sur-Mer	Communes in Calvados
Cabourg	Communes in Calvados
Cagny, Calvados	Communes in Calvados
Cahagnes	Communes in Calvados
Cahagnolles	Communes in Calvados
Cairon	Communes in Calvados
Juniper (train)	British Rail electric multiple units
Cambes-en-Plaine	Communes in Calvados
Cambremer	Communes in Calvados
Campagnolles	Communes in Calvados
Campandré-Valcongrain	Former communes in Calvados
Campeaux, Calvados	Former communes in Calvados
Campigny, Calvados	Communes in Calvados
Canapville, Calvados	Communes in Calvados
Canchy, Calvados	Communes in Calvados
Canteloup, Calvados	Communes in Calvados
Carcagny	Communes in Calvados
Networker (train)	British Rail, Multiple units
Cardonville	Communes in Calvados
Carpiquet	Communes in Calvados
Cartigny-l'Épinay	Communes in Calvados
Carville, Calvados	Former communes in Calvados
Castillon, Calvados	Communes in Calvados
Castillon-en-Auge	Communes in Calvados
Castilly	Former communes in Calvados
Caumont-l'Éventé	Former communes in Calvados
Caumont-sur-Orne	Former communes in Calvados
Cauvicourt	Communes in Calvados
Cauville	Communes in Calvados
Cernay, Calvados	Communes in Calvados
Cerqueux	Former communes in Calvados
Cesny-Bois-Halbout	Former communes in Calvados
Cesny-aux-Vignes	Communes in Calvados
Champ-du-Boult	Former communes in Calvados
Cheffreville-Tonnencourt	Former communes in Calvados
Cheux	Former communes in Calvados
Chicheboville	Former communes in Calvados
Chouain	Communes in Calvados
Chênedollé	Former communes in Calvados
Cintheaux	Communes in Calvados
Clarbec	Communes in Calvados
Clinchamps-sur-Orne	Former communes in Calvados
Clécy	Communes in Calvados
Cléville, Calvados	Communes in Calvados
Colleville-Montgomery	Communes in Calvados
Colleville-sur-Mer	Communes in Calvados
Colombelles	Communes in Calvados
Colombiers-sur-Seulles	Communes in Calvados
Colombières	Communes in Calvados
Colomby-sur-Thaon	Former communes in Calvados
Combray	Communes in Calvados
Commes	Communes in Calvados
Condé-sur-Ifs	Communes in Calvados
Condé-sur-Noireau	Former communes in Calvados
Condé-sur-Seulles	Communes in Calvados
Conteville, Calvados	Former communes in Calvados
Coquainvilliers	Communes in Calvados
Corbon, Calvados	Former communes in Calvados
Cordebugle	Communes in Calvados
Cordey	Communes in Calvados
Cormelles-le-Royal	Communes in Calvados
Cormolain	Communes in Calvados
Cossesseville	Communes in Calvados
Cottun	Communes in Calvados
Coudray-Rabut	Former communes in Calvados
Coulombs, Calvados	Former communes in Calvados
Coulonces, Calvados	Former communes in Calvados
Coulvain	Former communes in Calvados
Coupesarte	Former communes in Calvados
Courcy, Calvados	Communes in Calvados
Courseulles-sur-Mer	Communes in Calvados
Courson	Former communes in Calvados
Courtonne-la-Meurdrac	Communes in Calvados
Courtonne-les-Deux-Églises	Communes in Calvados
Courvaudon	Communes in Calvados
Cresserons	Communes in Calvados
Cresseveuille	Communes in Calvados
Creully	Former communes in Calvados
Cricquebœuf	Communes in Calvados
Cricqueville-en-Auge	Communes in Calvados
Cricqueville-en-Bessin	Communes in Calvados
Cristot	Communes in Calvados
Crocy	Communes in Calvados
Croisilles, Calvados	Communes in Calvados
Croissanville	Former communes in Calvados
Crouay	Communes in Calvados
Crèvecœur-en-Auge	Former communes in Calvados
Crépon	Communes in Calvados
Culey-le-Patry	Communes in Calvados
Cully, Calvados	Former communes in Calvados
Curcy-sur-Orne	Former communes in Calvados
Cussy	Communes in Calvados
Cuverville, Calvados	Communes in Calvados
Damblainville	Communes in Calvados
Dampierre, Calvados	Former communes in Calvados
Danestal	Communes in Calvados
Danvou-la-Ferrière	Former communes in Calvados
Deauville	Communes in Calvados
Deux-Jumeaux	Communes in Calvados
Dives-sur-Mer	Communes in Calvados
Donnay	Communes in Calvados
Douville-en-Auge	Communes in Calvados
Douvres-la-Délivrande	Communes in Calvados
Dozulé	Communes in Calvados
Drubec	Communes in Calvados
Ducy-Sainte-Marguerite	Communes in Calvados
Démouville	Communes in Calvados
Ellon, Calvados	Communes in Calvados
Englesqueville-en-Auge	Communes in Calvados
Englesqueville-la-Percée	Communes in Calvados
Eraines	Communes in Calvados
Ernes	Communes in Calvados
Escoville	Communes in Calvados
Espins	Communes in Calvados
Esquay-Notre-Dame	Communes in Calvados
Esquay-sur-Seulles	Communes in Calvados
Esson	Communes in Calvados
Estry	Former communes in Calvados
Estrées-la-Campagne	Communes in Calvados
Familly	Former communes in Calvados
Fauguernon	Communes in Calvados
Fervaques	Former communes in Calvados
Feuguerolles-Bully	Communes in Calvados
Fierville-Bray	Former communes in Calvados
Fierville-les-Parcs	Communes in Calvados
Firfol	Communes in Calvados
Fleury-sur-Orne	Communes in Calvados
Fontaine-Henry	Communes in Calvados
Fontaine-le-Pin	Communes in Calvados
Fontaine-Étoupefour	Communes in Calvados
Fontenay-le-Marmion	Communes in Calvados
Fontenay-le-Pesnel	Communes in Calvados
Fontenermont	Former communes in Calvados
Formentin	Communes in Calvados
Formigny	Former communes in Calvados
Foulognes	Communes in Calvados
Fourches	Communes in Calvados
Fourneaux-le-Val	Communes in Calvados
Fourneville	Communes in Calvados
Fresney-le-Puceux	Communes in Calvados
Fresney-le-Vieux	Communes in Calvados
Fresné-la-Mère	Communes in Calvados
Friardel	Former communes in Calvados
Frénouville	Communes in Calvados
Fumichon	Communes in Calvados
Garcelles-Secqueville	Former communes in Calvados
Gavrus	Communes in Calvados
Genneville	Communes in Calvados
Gerrots	Communes in Calvados
Giberville	Communes in Calvados
Glanville, Calvados	Communes in Calvados
Glos	Communes in Calvados
Gonneville-en-Auge	Communes in Calvados
Gonneville-sur-Honfleur	Communes in Calvados
Gonneville-sur-Mer	Communes in Calvados
Goupillières, Calvados	Former communes in Calvados
Goustranville	Communes in Calvados
Gouvix	Communes in Calvados
Grainville-Langannerie	Communes in Calvados
Grainville-sur-Odon	Communes in Calvados
Grandcamp-Maisy	Communes in Calvados
Grandchamp-le-Château	Former communes in Calvados
Grangues	Communes in Calvados
Graye-sur-Mer	Communes in Calvados
Grentheville	Communes in Calvados
Grimbosq	Communes in Calvados
Guéron	Communes in Calvados
Géfosse-Fontenay	Communes in Calvados
Hamars	Former communes in Calvados
Hermanville-sur-Mer	Communes in Calvados
Hermival-les-Vaux	Communes in Calvados
Heuland	Communes in Calvados
Heurtevent	Former communes in Calvados
Hiéville	Former communes in Calvados
Honfleur	Communes in Calvados
Hotot-en-Auge	Communes in Calvados
Hottot-les-Bagues	Communes in Calvados
Houlgate	Communes in Calvados
Hubert-Folie	Former communes in Calvados
Hérouville-Saint-Clair	Communes in Calvados
Hérouvillette	Communes in Calvados
Ifs, Calvados	Communes in Calvados
Isigny-sur-Mer	Communes in Calvados
Janville, Calvados	Communes in Calvados
Jort	Communes in Calvados
Juaye-Mondaye	Communes in Calvados
Jurques	Former communes in Calvados
Juvigny-sur-Seulles	Communes in Calvados
L'Hôtellerie	Communes in Calvados
L'Oudon	Former communes in Calvados
La Bazoque, Calvados	Communes in Calvados
La Bigne	Former communes in Calvados
La Boissière, Calvados	Communes in Calvados
La Brévière	Former communes in Calvados
La Caine	Communes in Calvados
La Cambe	Communes in Calvados
La Chapelle-Engerbold	Former communes in Calvados
La Chapelle-Haute-Grue	Former communes in Calvados
La Chapelle-Yvon	Former communes in Calvados
La Croupte	Former communes in Calvados
La Ferrière-Harang	Former communes in Calvados
La Folie	Communes in Calvados
La Folletière-Abenon	Communes in Calvados
La Graverie	Former communes in Calvados
La Hoguette	Communes in Calvados
La Houblonnière	Communes in Calvados
La Lande-sur-Drôme	Former communes in Calvados
La Pommeraye, Calvados	Communes in Calvados
La Rivière-Saint-Sauveur	Communes in Calvados
La Rocque	Former communes in Calvados
La Roque-Baignard	Communes in Calvados
La Vacquerie	Former communes in Calvados
La Vespière	Former communes in Calvados
La Villette, Calvados	Communes in Calvados
Laize-la-Ville	Former communes in Calvados
Landelles-et-Coupigny	Communes in Calvados
Landes-sur-Ajon	Communes in Calvados
Langrune-sur-Mer	Communes in Calvados
Lantheuil	Former communes in Calvados
Lasson, Calvados	Former communes in Calvados
Lassy, Calvados	Former communes in Calvados
Le Breuil-en-Auge	Communes in Calvados
Le Breuil-en-Bessin	Communes in Calvados
Le Brévedent	Communes in Calvados
Le Bény-Bocage	Former communes in Calvados
Le Bô	Communes in Calvados
Le Bû-sur-Rouvres	Communes in Calvados
Le Désert	Former communes in Calvados
Le Détroit	Communes in Calvados
Le Faulq	Communes in Calvados
Le Fournet	Communes in Calvados
Le Fresne-Camilly	Communes in Calvados
Le Gast	Former communes in Calvados
Le Locheur	Former communes in Calvados
Le Manoir, Calvados	Communes in Calvados
Le Marais-la-Chapelle	Communes in Calvados
Le Mesnil-Auzouf	Former communes in Calvados
Le Mesnil-Bacley	Former communes in Calvados
Le Mesnil-Benoist	Former communes in Calvados
Le Mesnil-Caussois	Former communes in Calvados
Le Mesnil-Durand	Former communes in Calvados
Le Mesnil-Eudes	Communes in Calvados
Le Mesnil-Germain	Former communes in Calvados
Le Mesnil-Guillaume	Communes in Calvados
Le Mesnil-Mauger	Former communes in Calvados
Le Mesnil-Patry	Former communes in Calvados
Le Mesnil-Robert	Communes in Calvados
Le Mesnil-Simon, Calvados	Communes in Calvados
Le Mesnil-Villement	Communes in Calvados
Le Mesnil-au-Grain	Communes in Calvados
Le Mesnil-sur-Blangy	Communes in Calvados
Le Molay-Littry	Communes in Calvados
Le Pin, Calvados	Communes in Calvados
Le Plessis-Grimoult	Former communes in Calvados
Le Pré-d'Auge	Communes in Calvados
Le Reculey	Former communes in Calvados
Le Theil-Bocage	Former communes in Calvados
Le Theil-en-Auge	Communes in Calvados
Le Torquesne	Communes in Calvados
Le Tourneur	Former communes in Calvados
Le Tronquay, Calvados	Communes in Calvados
Le Vey	Communes in Calvados
Leffard	Communes in Calvados
Les Autels-Saint-Bazile	Former communes in Calvados
Les Authieux-Papion	Former communes in Calvados
Les Authieux-sur-Calonne	Communes in Calvados
Les Isles-Bardel	Communes in Calvados
Les Loges, Calvados	Communes in Calvados
Les Loges-Saulces	Communes in Calvados
Les Monceaux	Communes in Calvados
Les Moutiers-Hubert	Former communes in Calvados
Les Moutiers-en-Auge	Communes in Calvados
