Executive order (United States)	United States law
Ilkka Sinisalo	1958 births, 2017 deaths, Deaths from prostate cancer, Finnish ice hockey players, Philadelphia Flyers players, Minnesota North Stars players, Los Angeles Kings players, International Hockey League (1945–2001) players
Brian Matthew	1928 births, 2017 deaths, English radio personalities, People from Coventry
Pedro Salvatori	1933 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in Argentina, Argentine politicians, Governors
Gravity (Sara Bareilles song)	2007 songs, 2000s ballads
High-valent iron	Iron
Iron filings	Iron
Iron in folklore	Iron
North Jutlandic Island	Islands of Denmark
Anthracite pig iron	Iron
Lolland	Islands of Denmark
Sam Gagner	1989 births, American Hockey League players, Arizona Coyotes players, Canadian ice hockey centres, Columbus Blue Jackets players, Detroit Red Wings players, Edmonton Oilers players, Ice hockey people from Ontario, Living people, Ontario Hockey League players, People from London, Ontario, Philadelphia Flyers players, United States Hockey League players, Vancouver Canucks players
Paul O'Neill	1956 births, 2017 deaths, Disease-related deaths in Florida, American songwriters, American composers, Writers from New York City
Arthur Bisguier	1929 births, 2017 deaths, Deaths from respiratory failure, Disease-related deaths in Massachusetts, American chess players, Sportspeople from New York City
Molybdenum disulfide	Chemical compounds
Frisco, Texas	Cities in Texas
Heteronormativity	Discrimination, Sexuality, Society
Heterosexism	Discrimination, Sexuality
Chrystia Freeland	1968 births, Living people, Canadian journalists, Canadian writers, Government ministers, People from Alberta, Deputy Prime Ministers of Canada, Members of the House of Commons of Canada from Ontario
Iron planet	Terrestrial planets, Types of planet, Iron
Iron plantation	Iron
Sigmar Gabriel	1959 births, Living people, German Lutherans, Government ministers of Germany, Members of the German Bundestag, Politicians from Lower Saxony, Politicians of the Social Democratic Party of Germany, Vice Chancellors of Germany
2017 Stockholm attack	2017 Stockholm attack, 2017 murders in Europe, 2010s in Stockholm, April 2017 events, Islamic terrorist incidents in Europe, Islamic terrorist incidents in 2017, Mass murder in 2017, Mass murder in Europe, Terrorist incidents in Europe in 2017, Terrorist incidents involving vehicular attacks
Smooth endoplasmic reticulum	Organelles
David Gove	1978 births, 2017 deaths, Drug-related accidental deaths in the United States, Carolina Hurricanes players, Sportspeople from Massachusetts, American Hockey League players, ECHL players, International Hockey League (1945–2001) players
Memè Perlini	1947 births, 2017 deaths, Suicides by jumping, Italian movie actors, Italian movie directors
David Peel	1943 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in New York City, American punk musicians, American folk musicians, American folk singers, American rock musicians, American rock singers, American political activists, Musicians from New York City, Singers from New York City
Jerzy Vetulani	1936 births, 2017 deaths, Biochemists, Neuroscientists, Pharmacologists, People from Kraków, Polish academics, Polish scientists, Road accident deaths
Marthe Gosteli	1917 births, 2017 deaths, Accidental deaths from falls, Swiss activists
Tim Pigott-Smith	1946 births, 2017 deaths, Actors who played in James Bond movies, BAFTA Award winning actors, Cardiovascular disease deaths in England, Deaths from myocardial infarction, English movie actors, English stage actors, English television actors, People from Warwickshire
Y. A. Tittle	1926 births, 2017 deaths, Deaths from dementia, Disease-related deaths in California, San Francisco 49ers players, New York Giants players, Sportspeople from Texas
Glenn O'Brien	1947 births, 2017 deaths, Deaths from pneumonia, Disease-related deaths in New York City, American journalists, American television presenters, American artists, American editors, American critics, Writers from Cleveland, Ohio, Writers from New York City, Andy Warhol
2017 Shayrat missile strike	2017 in Asia, 2017 in the United States, April 2017 events, 21st century in Syria
Jean Douchet	1929 births, 2019 deaths, French movie directors, French screenwriters, French movie critics, French historians, French educators, Writers from Paris
Jacques Rozier	1926 births, Living people, French movie directors, French screenwriters, Writers from Paris
Armand Gatti	1924 births, 2017 deaths, French playwrights, French poets, French journalists, French screenwriters, French movie directors, Monegasque people
Matt Murphy	1929 births, 2018 deaths, Deaths from myocardial infarction, American blues musicians, American guitarists, Musicians from Mississippi
Mark Rydell	1929 births, Living people, American movie actors, Movie directors from New York City, Movie producers from New York City, Actors from New York City
Ferenc Doór	Hungarian people, Painters, 1918 births, 2015 deaths
Dan Carter	1982 births, Living people, New Zealand rugby union players, Officers of the New Zealand Order of Merit
Tribes of Israel	Old Testament, Ancient Israel and Judah
Sanhedrin	Judaism in Israel
1978 Sikh–Nirankari clashes	1978 in Asia, Sikhism, 1970s in India
Kenneth I of Scotland	810 births, 858 deaths, Kings and queens, 9th century in Scotland
Isaac Herzog	1960 births, Living people, Presidents of Israel, Current national leaders, Former Members of Knesset, Government ministers of Israel, HaAvoda politicians, Israeli lawyers, Israeli opposition leaders, Jewish Israeli politicians, Jewish lawyers, People from Tel Aviv, Tel Aviv University alumni
Theodicy	Theology
Capstan (nautical)	Ships
Colleges and universities in Georgia (U.S. state)	Colleges and universities in Georgia (U.S. state), Lists about U.S. states, Lists of colleges and universities
Larry D. Alexander	Living people, 1953 births, Writers from Arkansas, Writers from Texas, People from Pine Bluff, Arkansas
Láadan	Constructed languages, Feminism, Science fiction
Android 18 (Dragon Ball)	Dragon Ball characters
Kim Young-ae	1951 births, 2017 deaths, Deaths from pancreatic cancer, South Korean movie actors, South Korean television actors
Palm Sunday church bombings	2017 in Africa, 2010s explosions in Africa, 21st century in Egypt, April 2017 events, Attacks on buildings and structures in Africa, Attacks on churches, Explosions in 2017, Explosions in Africa, Islamic State, Islamic terrorist incidents in Africa, Islamic terrorist incidents in the 2010s, Mass murder in 2017, Mass murder in Africa, Suicide bombings in Africa, Suicide bombings in the 2010s, Terrorist incidents in 2017, Terrorist incidents in Africa in the 2010s
Atanase Sciotnic	1942 births, 2017 deaths, Romanian sportspeople
Relja Bašić	1930 births, 2017 deaths, Croatian politicians, Croatian actors, Movie actors, People from Zagreb
Peter Isaacson	1920 births, 2017 deaths, Disease-related deaths in Australia, Australian military people, Publishers, Australian writers, World War II people, Writers from London
Christopher Morahan	1929 births, 2017 deaths, Disease-related deaths in London, English television directors, People from London
Fishman (wrestler)	1951 births, 2017 deaths, Deaths from myocardial infarction, Cardiovascular disease deaths in Mexico, Mexican professional wrestlers
Water bottle	Containers
Georgy Grechko	1931 births, 2017 deaths, Deaths from heart failure, Soviet people, Cosmonauts, People from Saint Petersburg
Knut Borge	1949 births, 2017 deaths, Deaths from heart failure, Norwegian television presenters, Norwegian journalists
Mark Goldring	1957 births, Living people, Commanders of the Order of the British Empire
Georges Prêtre	1924 births, 2017 deaths, French conductors
Barbara Helsingius	1937 births, 2017 deaths, Disease-related deaths in Finland, Finnish Olympians, Finnish singers, Poets, Fencers, Sportspeople from Helsinki
Carme Chacón	1971 births, 2017 deaths, Cardiovascular disease deaths in Madrid, Government ministers, Socialist politicians, Spanish politicians, Spanish socialists
Shecky Greene	1926 births, Living people, American movie actors, American television actors, Actors from Chicago, Comedians from Chicago
Bill Page	1925 births, 2017 deaths, Businesspeople from Chicago, Musicians from Chicago
Chuck Nergard	1929 births, 2017 deaths, Real estate developers, Politicians from Chicago, Politicians from Florida, US Republican Party politicians
K. T. McFarland	1951 births, Living people, Politicians from Wisconsin, Politicians from New York, People from Madison, Wisconsin, US Republican Party politicians
David M. Friedman	1958 births, Living people, Ambassadors of the United States to Israel, American lawyers, Businesspeople from New York City, Columbia University alumni, Jewish American politicians, Jewish businesspeople, Jewish lawyers, New York University alumni, Politicians from New York City, US Republican Party politicians
Shape of You	2017 songs, Pop songs
Mike Quigley	1958 births, Living people, United States representatives from Illinois, Politicians from Chicago, Politicians from Indianapolis, Indiana, US Democratic Party politicians
Dieter Kottysch	1943 births, 2017 deaths, Boxers, Disease-related deaths in Germany, German Olympic gold medalists, German sportspeople, People from former German territories
Amo Houghton	1926 births, 2020 deaths, United States representatives from New York, Businesspeople from New York, US Republican Party politicians
Leo C. Zeferetti	1927 births, 2018 deaths, United States representatives from New York, Politicians from Brooklyn, US Democratic Party politicians
Fred Richmond	1923 births, 2019 deaths, Deaths from pneumonia, Disease-related deaths in New York City, American people convicted of drug offenses, Boston University alumni, Jewish American criminals, Jewish American politicians, Politicians from Boston, Massachusetts, United States representatives from New York, US Democratic Party politicians
Richard Ottinger	1929 births, Living people, United States representatives from New York, American educators, Politicians from New York City, US Democratic Party politicians
Ogden R. Reid	1925 births, 2019 deaths, United States representatives from New York, Ambassadors of the United States to Israel, Politicians from New York City, US Republican Party politicians
Harris W. Fawell	1929 births, Living people, United States representatives from Illinois, Politicians from Chicago, US Republican Party politicians, State legislators of the United States
