Remo Sernagiotto	1955 births, 2020 deaths, Former MEPs, MEPs for Italy, Deaths from myocardial infarction
Huw Irranca-Davies	1963 births, Living people, Former Labour MPs (UK), Members of the British House of Commons for Welsh constituencies, Politicians from Swansea, UK MPs 2001–2005, UK MPs 2005–2010, UK MPs 2010–2015, UK MPs 2015–2017, Welsh politicians
The Son Also Draws	Family Guy (season 1) episodes, 1999 television episodes
The Treasure of the Sierra Madre	1948 movies, 1940s adventure movies, 1940s drama movies, American adventure movies, American drama movies, Mexican movies, Movies based on books, Warner Bros. movies, Movies directed by John Huston
The Bribe	1949 movies, 1940s crime movies, 1940s drama movies, American crime drama movies, Movies based on short stories, Movies directed by Robert Z. Leonard, Movies directed by Vincente Minnelli
Metro Trains Melbourne	2009 establishments in Australia, Companies of Australia, Rail transport in Australia, Transport in Melbourne
The Lost Patrol (1934 movie)	1934 movies, 1930s war movies, American war movies, Movies based on books, World War I movies, Movies directed by John Ford
Jean Cottard	1926 births, 2020 deaths, Fencers, Sportspeople from Paris
Bernard Vogler	1935 births, 2020 deaths, French historians
Kaj Ikast	1935 births, 2020 deaths, Danish politicians
Adil Ismayilov	1957 births, 2020 deaths, Deaths from the COVID-19 pandemic, Azerbaijani people, Lawyers
Gérard Gourgue	1925 births, 2020 deaths, Haitian people, Politicians
Pierre Bernard (Tarn politician)	1934 births, 2020 deaths, French mayors
Trébas	Communes in Tarn
Alban, Tarn	Communes in Tarn
Phyllis Eisenstein	1946 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Deaths from stroke, American novelists, American editors, Writers from Chicago, Cardiovascular disease deaths in Chicago, Infectious disease deaths in Chicago
Jimmy McLane	1930 births, 2020 deaths, American swimmers, American Olympic gold medalists, American Olympic silver medalists, Sportspeople from Pittsburgh, Pennsylvania
Paul Wass	1925 births, 2020 deaths, State legislators of the United States, Politicians from Pennsylvania, US Republican Party politicians
Young Township, Indiana County, Pennsylvania	Townships in Pennsylvania
Florida's 1st congressional district	Government of Florida
Paulo César dos Santos	1952 births, 2020 deaths, Deaths from multiple organ failure, Deaths from the COVID-19 pandemic in Brazil, Brazilian singers, Brazilian musicians, Deaths from cardiopulmonary arrest
Colic	Diseases
Totilas	Individual animals, Racehorses
Seppo Vainio	1937 births, 2020 deaths, Finnish Olympians, Finnish ice hockey players
Sudhir Chakraborty	1934 births, 2020 deaths, Indian scientists, Indian writers, Indian educators, Asian anthropologists
Donald Fowler	1935 births, 2020 deaths, American political scientists, Deaths from leukemia, People from Spartanburg, South Carolina, Politicians from South Carolina, US Democratic Party politicians
Bruce Seals	1953 births, 2020 deaths, Seattle SuperSonics players, Sportspeople from Boston, Massachusetts
Petro Slobodyan	1953 births, 2020 deaths, Soviet sportspeople, Ukrainian footballers, Ukrainian football managers
Ian Armstrong (politician)	1937 births, 2020 deaths, Politicians from New South Wales
Caroline Cellier	1945 births, 2020 deaths, French movie actors, French television actors
Jean Poiret	1926 births, 1992 deaths, French movie actors, French television actors, French theatre directors, Movie directors from Paris, Writers from Paris, French playwrights, Actors from Paris, French screenwriters
Leticia Lee	1964 births, 2020 deaths, Activists from Hong Kong, Chinese politicians, Political activists, Deaths from the COVID-19 pandemic
Hanna Stankówna	1938 births, 2020 deaths, Polish movie actors, Polish stage actors, People from Poznań
José María de la Torre Martín	1952 births, 2020 deaths, Deaths from the COVID-19 pandemic in Mexico, Roman Catholic bishops, People from Mexico City
Manuel Costas (footballer, born 1942)	1942 births, 2020 deaths, Spanish footballers
Yaakov Agmon	1929 births, 2020 deaths, Columnists, Deaths from the COVID-19 pandemic in Israel, Israeli journalists, Israeli businesspeople, Israeli writers, People from Tel Aviv, Theatre directors, Theatre producers
Feng Duan	1923 births, 2020 deaths, Chinese politicians, Physicists
Tesfaye Gessesse	1937 births, 2020 deaths, Theatre directors, Ethiopian people, Stage actors
David Byrd (politician)	1957 births, Living people, State legislators of the United States, Politicians from Tennessee, US Republican Party politicians
Waynesboro, Tennessee	Cities in Tennessee, County seats in Tennessee
Waldemaro Bartolozzi	1927 births, 2020 deaths, Italian cyclists
Scandicci	Settlements in Tuscany
Crystal Lowe	1981 births, Living people, Canadian models, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian child actors, Canadian stage actors, Actors from Vancouver
Kawasaki theorem	Mathematics
Western Conference (MLS)	1996 in association football, Soccer in the United States, Football leagues
Taipei frog	Animals of Asia, Frogs
La vida de Lazarillo de Tormes	Articles with unsourced statements, Literature
Letterlike Symbols	Unicode blocks, Latin letters
Dressed to Kill (1980 movie)	1980 movies, 1980s LGBT movies, 1980s thriller movies, American thriller movies, Movies directed by Brian De Palma
Julie Fisher	Year of birth missing (living people), Living people, American diplomats, Women diplomats
Aydın Büyükşehir Belediyespor	Sports clubs
Samdari	Barmer district
Mena Report	Jordan, Websites established in 2001, Magazines of Asia
Enclosed Alphanumerics	Unicode blocks
Eric Lopez	1978 births, Living people, American voice actors, American video game actors, People from Havana
Vinland	History of North America
Guaraní language	Paraguay, Languages of South America
Hugues Le Bars	1950 births, 2014 deaths, French composers, French composers by genre
Calamites	Extinct plants
Cantar de mio Cid	13th century books
Congress of the Republic of Guatemala	Guatemala
Michigan's 2nd congressional district	Michigan
Zeeland, Michigan	Cities in Michigan
Hudsonville, Michigan	Cities in Michigan
Richard Laird	1939 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, State legislators of the United States, Politicians from Georgia (U.S. state), US Democratic Party politicians
Jack Page (politician)	1950 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Politicians from Alabama, US Democratic Party politicians, State legislators of the United States
Anthony Casso	1942 births, 2020 deaths, Deaths from the COVID-19 pandemic in the United States, Mobsters, Criminals from New York City, American people convicted of murder, People who died in prison custody in the United States
Kálmán Sóvári	1940 births, 2020 deaths, Hungarian footballers
Lorenzo Taliaferro	1991 births, 2020 deaths, Deaths from myocardial infarction, American football fullbacks, Sportspeople from Virginia
Adela de Torrebiarte	1949 births, 2020 deaths, Deaths from lung cancer, Guatemalan politicians, People from Guatemala City
Renê Weber	1961 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian footballers, Brazilian football managers, People from Rio Grande do Sul
Sigillaria	Trees, Fossil plants
Hennadiy Kernes	1959 births, 2020 deaths, Deaths from the COVID-19 pandemic in Germany, Ukrainian politicians, Mayors
R. N. Shetty	1928 births, 2020 deaths, Deaths from myocardial infarction, Indian businesspeople, Indian educators, Indian philanthropists, Business people
Satya Deo Singh	1945 births, 2020 deaths, Deaths from cardiac arrest, Deaths from the COVID-19 pandemic in India, Indian politicians
Rosaly Papadopol	1956 births, 2020 deaths, Deaths from lymphoma, Brazilian movie actors, Brazilian television actors, Brazilian stage actors, People from São Paulo
Stephen Tjephe	1955 births, 2020 deaths, Burmese people, Roman Catholic bishops
Penang F.C.	Football in Malaysia, Football clubs
Namat Abdullah	1946 births, 2020 deaths, Deaths from stomach cancer, Malaysian sportspeople, Footballers
Maciej Grubski	1968 births, 2020 deaths, Deaths from the COVID-19 pandemic in Poland, Polish politicians, People from Łódź
Happiest Season	2020 comedy movies, 2020s romance movies, 2020s LGBT movies, American romantic comedy movies, American LGBT movies
Michael Hogan (Canadian actor)	1949 births, Living people, Canadian movie actors, Canadian television actors, Canadian voice actors, Canadian stage actors, Actors from Ontario
Ann Cusack	1961 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from New York City, Actors from Chicago, People from Evanston, Illinois
Mary Holland	1985 births, Living people, American movie actors, American television actors, American voice actors, Actors from Virginia, Comedians from Virginia
Jeffrey Donovan	1968 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Massachusetts
Amesbury, Massachusetts	Cities in Massachusetts
Bokeem Woodbine	1973 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from New York City
Royal Belgian Football Association	19th century establishments in Belgium, 1895 establishments in Europe, Football organizations, Football in Belgium
Group 8 element	Periodic table, Transition metals
Mekozhoor	Villages in Pathanamthitta district
Jacques Lambinon	Botanists
El cerco de Numancia	Plays
Arizona (1940 movie)	1940 movies, 1940s western movies, American western movies, Movies based on books, Movies directed by Wesley Ruggles
Too Many Husbands	1940 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies based on plays, Movies directed by Wesley Ruggles
Monster's Ball	2001 drama movies, 2001 romance movies, 2000s romantic drama movies, American romantic drama movies, Movies directed by Marc Forster
Merry Christmas, Mr. Lawrence	1983 movies, 1980s war movies, 1980s LGBT movies, British war movies, Japanese movies, New Zealand movies, Christmas movies, Movies based on books, World War II movies, Movies directed by Nagisa Oshima
Cruel Story of Youth	1960 drama movies, 1960s crime drama movies, Japanese movies, Movies directed by Nagisa Oshima
Teairra Marí	1987 births, Living people, Actors from Detroit, Michigan, African American actors, African-American singers, American dancers, American movie actors
Chips Ahoy!	Cookies
Michael S. Regan	1976 births, Living people, American environmentalists, Politicians from North Carolina, US Democratic Party politicians, Administrators of the United States Environmental Protection Agency
