Mametz, Somme	Former communes in Somme
George II of Greece	1890 births, 1947 deaths, Kings of Greece, Deaths from arteriosclerosis
Richford, New York	Towns in New York
List of kings of Greece	Kings of Greece
Otto of Greece	1915 births, 1867 deaths, Kings of Greece
Constantine I of Greece	1868 births, 1923 deaths, Kings of Greece
Alexander of Greece	1893 births, 1920 deaths, Deaths from sepsis, Kings of Greece
Barbary macaque	Old World monkeys, Mammals of Africa, Mammals of Europe
Blair House	Buildings and structures in Washington, D.C.
Metal Max (video game)	1991 video games, Japan exclusive video games, Metal Max, Nintendo Entertainment System games, Super Nintendo Entertainment System games, Video games developed in Japan
Destroy All Humans! (video game series)	Destroy All Humans!, Video game series
Hot Shots Golf 2	1999 video games, Golf video games, Hot Shots Golf, PlayStation games, PlayStation-only games, Sports video games, Video game sequels, Video games developed in Japan
Hinduism in Assam	Hinduism in South Asia
Aquiles Este	Semioticians, Semiotics, American writers
Andriy Beshta	1976 births, 2021 deaths, Ambassadors, Deaths from myocardial infarction, Ukrainian politicians
Thunder of Gigantic Serpent	1980s adventure movies, 1988 horror movies, English-language movies, Movies about animals, American monster movies, Taiwanese movies, 1980s monster movies, Monster movies
Pacific lowland tree frog	Frogs, Animals of South America
Edith Cowan	1861 births, 1932 deaths, Australian activists, Disease-related deaths in Australia, Nationalist Party of Australia politicians, Officers of the Order of the British Empire, Politicians from Western Australia
Hossein Omidi	Iranian actors, 1984 births, Living people
South African braille	Language, South Africa
In Desert and Wilderness (2001 movie)	2001 movies, 2000s adventure movies, Polish movies, Movies based on books, Movies directed by Gavin Hood
Stephen Thompson (fighter)	1983 births, Living people, American mixed martial artists, Sportspeople from South Carolina
Evanston, Wyoming	Cities in Wyoming, County seats in Wyoming
Lil Loaded	2000s births, 2021 deaths, Singers from Dallas, Texas
Cat Deeley	1976 births, Living people, People from West Midlands (county), English models, English movie actors, English television actors, English voice actors, English television personalities
List of national parks of the United States	Lists of national parks, National parks in the United States, United States-related lists
The Landowner's Daughter	1953 drama movies, Brazilian movies, Movies based on books
Street fighting	Violence
Paranoid Park (2007 movie)	Movies based on books, 2007 drama movies, French drama movies, American drama movies, Movies directed by Gus Van Sant
Thatgamecompany	Companies of the United States, 2006 establishments in the United States
Oath Keepers	Political parties in the United States, Nationalism, 2009 establishments in the United States
Aurora Pita Alonso	1936 births, 2021 deaths
Dendropsophus meridianus	Frogs, Animals of South America
Tarlan Parvaneh	1998 births, Living people, Iranian actors
Alireza Jafari	1994 births, Living people, Iranian actors
Milad Keymaram	Iranian actors, 1985 births, Living people
Poolside (movie)	American movies
The Lonely Villa	American movies
Antiziganism	Hatred, Roma
Marion Leonard	1881_births, American_movie_actors, 1956 deaths
1902 Navy Midshipmen football team	20th century in sports, 1900s in the United States
Early 1990s recession in the United States	Financial crises, 1990 in the United States, 1991 in the United States, 1992 in the United States
Prince Amedeo, Duke of Aosta (born 1943)	1943 births, 2021 deaths, Italian people, Princes and princesses, Deaths from cardiac arrest, Deaths from surgical complications
Christa Stubnick	1933 births, 2021 deaths, German Olympic silver medalists
Buddy Van Horn	1928 births, 2021 deaths, Stuntmen, Movie directors from Los Angeles, California
Lesbian bar	Places where alcohol is served, LGBT
Violet Hill (song)	2008 songs, Coldplay songs
Gap (clothing retailer)	1960s establishments in California, 1969 establishments in the United States, Companies based in San Francisco, American clothing companies
Temple of Kom Ombo	Temples, Egypt
Paradise (Coldplay song)	2011 songs, Coldplay songs
Gorani	Balkan Mountains, Islam, History of Persia
Gainax	Animation studios in Asia, Japanese video game designers
Horror and terror	Horror
Passion (emotion)	Emotions
Pomak	Ottoman Empire
Dyke March	LGBT rights
A Rush of Blood to the Head Tour	Coldplay, Musical groups
Jodi Balfour	1987 births, Living people, South African actors, People from Cape Town
Melissa Barrera (actress)	1990 births, Living people, Mexican movie actors, Mexican television actors, Mexican voice actors, Mexican singers, People from Monterrey
Hichem Djait	1935 births, Living people, Tunisian writers, Historians, Academics, People from Tunis
Adnan Al Sharqi	1941 births, 2021 deaths, Lebanese footballers, Football managers, People from Beirut
Alice Weidel	1979 births, Living people, German politicians
Harry Turtledove	1949 births, Living people, American novelists, American historians, American essayists, Writers from Los Angeles, California
Ketogenesis	Metabolism
ESPN Xtra	Radio stations in the United States
José Manuel Pinto	1975 births, Living people, Sportspeople from Andalusia, Spanish association football goalkeepers
Grbavica (movie)	2006 movies, 2000s war movies, Bosnia and Herzegovina movies, Austrian movies, German movies, Croatian movies, Movies directed by Jasmila Žbanić
R.O.S.E. (Jessie J album)	2018 albums, Jessie J albums, R&B albums
Non-fungible token	Cryptography, Currency, Technology
Wow! signal	SETI
Love Island (2014 movie)	2014 comedy movies, 2014 romance movies, 2010s romantic comedy movies, Croatian movies, German romance movies, German comedy movies, Swiss movies, Bosnia and Herzegovina movies, Movies directed by Jasmila Žbanić
Foro TV	2010 establishments in North America, 2010s establishments in Mexico, Television channels
ESPNews	American television networks, 1996 establishments in the United States
U-Carmen e-Khayelitsha	2005 movies, 2000s musical movies, South African movies, Movies based on plays, Movies set in South Africa, Movies directed by Mark Dornford-May
Whitney (album)	1987 albums, Whitney Houston albums, Pop albums, Dance albums, R&B albums
The Orange Suit	2012 comedy-drama movies, Iranian movies, Movies directed by Dariush Mehrjui
I'm Your Baby Tonight	1990 albums, Whitney Houston albums, Dance albums, New jack swing albums, R&B albums
Thank U, Next	Ariana Grande albums, 2019 albums, Pop albums, Trap albums, R&B albums
2020–21 EFL Championship	2021 in sports, 2020 in sports
Jacques Lacoursière	1932 births, 2021 deaths, Canadian historians, Canadian television presenters, Writers from Quebec
Little One (movie)	2012 drama movies, South African movies, Movies set in South Africa, Movies directed by Darrell Roodt
Mike Marshall (pitcher)	1943 births, 2021 deaths, Detroit Tigers players, Milwaukee Brewers players, Houston Astros players, Montreal Expos players, Los Angeles Dodgers players, Atlanta Braves players, Texas Rangers players, Minnesota Twins players, New York Mets players, Sportspeople from Michigan
Bunny Matthews	1951 births, 2021 deaths, American cartoonists, Writers from Louisiana, Deaths from lymphoma
For Those Who Can Tell No Tales	2013 drama movies, Bosnia and Herzegovina movies, Qatari movies, German drama movies, Movies directed by Jasmila Žbanić
Lady Dimitrescu	Resident Evil characters
Resident Evil Village	2021 video games, Resident Evil
Ethan Winters	Resident Evil characters, Fictional American people, Fictional characters introduced in the 2010s
Parliament of Cambodia	Cambodia
National Assembly of Cambodia	Cambodia
Senate of Cambodia	Cambodia
Tram Iv Tek	1948 births, 2021 deaths, Cambodian people, Asian politicians
Rick Mitchell	1955 births, 2021 deaths, Australian Olympic silver medalists, Australian athletes, Sportspeople from Sydney, Deaths from prostate cancer, Cancer deaths in Sydney
Old Navy	Companies based in San Francisco, American clothing companies, 1994 establishments in California
Grace Fulton	1996 births, Living people, American dancers, American movie actors, American television actors, American stage actors, American voice actors, American child actors
Levi Strauss & Co.	Companies listed on the New York Stock Exchange, 1853 establishments in the United States, Companies based in San Francisco, American clothing companies
List of songs recorded by ABBA	ABBA songs
Sam's Club	Supermarkets of the United States, 1983 establishments in the United States
Jovino Novoa	1945 births, 2021 deaths, Deaths from emphysema, Chilean lawyers, Chilean politicians, People from Santiago
José Manuel Piñeiro Amigo	Spanish politicians, Spanish lawyers, 1938 births, 2021 deaths
Indian classical dance	Dance in India
Samira Hosseini	Iranian actors, Living people
Esma Redžepova	1943 births, 2016 deaths, Singers, People from Skopje, Roma
Lisa Marie (actress)	1968 births, Living people, American movie actors, American television actors, American voice actors, American stage actors, Actors from New Jersey, Models from New Jersey
IRIS Kharg	2021 disasters, 2020s disasters in Asia, 2020s fires, 21st century in Iran, Fires in Asia, June 2021 events, Maritime disasters, Ships, Transport disasters in Asia
Georgina Bloomberg	1983 births, Living people
New York's 17th congressional district	Congressional districts of New York (state)
Alfredo (name)	Given names
Pop it (toy)	Toys
Barnsley	Towns in South Yorkshire, County towns in England
Azerbaijani Soviet Encyclopedia	Encyclopedias, Azerbaijani culture, Soviet culture
Crump tree frog	Frogs, Animals of South America
12 Years a Slave	19th century books, Slavery
The Three Musketeers (1993 movie)	1993 action movies, 1993 comedy movies, 1990s adventure movies, Austrian movies, American action movies, American adventure movies, American comedy movies, Movies based on books
Joy (2018 movie)	2018 drama movies, Austrian movies
Freihung	Amberg-Sulzbach
Freudenberg, Bavaria	Amberg-Sulzbach
Lake Genval	Lakes of Europe, Geography of Belgium, Flemish Brabant, Walloon Brabant
Warren, Pennsylvania	Cities in Pennsylvania, County seats in Pennsylvania
Wood, South Dakota	Towns in South Dakota
White River, South Dakota	Cities in South Dakota, County seats in South Dakota
Mound City, South Dakota	Towns in South Dakota, County seats in South Dakota
Sex in movies	Human sexuality, Movies
John Rutherford (Florida politician)	1952 births, Living people, American police officers, United States representatives from Florida, Politicians from Omaha, Nebraska, Politicians from Jacksonville, Florida, US Republican Party politicians
Katie Hobbs	1969 births, Living people, State legislators of the United States, Politicians from Phoenix, Arizona, US Democratic Party politicians
Kimberly Yee	1974 births, Living people, State legislators of the United States, Politicians from Phoenix, Arizona, US Republican Party politicians
Belle de Jour (movie)	1967 drama movies, French drama movies, Adultery in movies, Movies based on books, Movies directed by Luis Buñuel
Breast fetishism	Human sexuality, Breasts
Sexual stimulation	Sexuality
Musi	Rivers of India, Telangana
Bev Bergeron	2020 deaths, American actors, American magicians
Lisa Lisa and Cult Jam	1980s establishments in New York (state), 1984 establishments in the United States, 1990s disestablishments in New York (state), 1991 disestablishments in the United States, American R&B bands, American pop music groups, Musical groups from New York City, Musical groups established in 1984, Musical groups disestablished in 1991, 1980s American music groups, 1990s American music groups
Olympia LePoint	Living people, People from California, American businesspeople
Platinum Jubilee of Elizabeth II	2022, Elizabeth II, Events in the United Kingdom
When I Saw You (movie)	2012 drama movies, Palestinian movies, Jordanian movies, Greek movies, United Arab Emirates movies, Movies directed by Annamarie Jacir
Den Burg	Settlements in North Holland, Texel
Dunnock	Passeriformes
Gold Digger (Kanye West song)	Rap songs, Kanye West songs, 2005 songs
Salt of this Sea	2008 drama movies, Palestinian movies, French drama movies, Belgian movies, American drama movies, Dutch drama movies, Spanish movies, Swiss movies, Movies directed by Annamarie Jacir
99 Bottles of Beer	Children's songs
849	849
850s	850s
853	853
Phil Lombardi	1963 births, 2021 deaths, American baseball players, Cancer deaths in California, Deaths from brain cancer, New York Mets players, New York Yankees players, Sportspeople from Texas, People from Abilene, Texas
F1 Circular Quay to Manly Ferry	Transport in Sydney, Water transport
Meiteism	Meitei religion
Lakshmi Nandan Bora	1931 births, 2021 deaths, Indian novelists, Deaths from the COVID-19 pandemic in India
Herman Stok	1927 births, 2021 deaths, Dutch radio personalities, Dutch television presenters, People from Rotterdam
Ian Shearer	1941 births, 2021 deaths, New Zealand politicians, Deaths from idiopathic pulmonary fibrosis
Hsing Yin Shean	1952 births, 2021 deaths, Deaths from the COVID-19 pandemic in Malaysia, Malaysian politicians
Pema Chödrön	1936 births, Living people, American Buddhists, Nuns, American teachers, Writers from New York City
Joel Wachs	1939 births, Living people, Politicians from Los Angeles, California, Politicians from Pennsylvania, People from Scranton, Pennsylvania, US Democratic Party politicians, LGBT politicians, Gay men, LGBT people from Los Angeles, California, LGBT people from Pennsylvania
Wendy Greuel	1961 births, Living people, Politicians from Los Angeles, California, US Democratic Party politicians
770s BC	770s BC
Ted Lieu	1969 births, Living people, United States representatives from California, Naturalized citizens of the United States, Taiwanese politicians, Politicians from Cleveland, Ohio, Politicians from Los Angeles, California, US Democratic Party politicians
Debbie Dingell	1953 births, Living people, United States representatives from Michigan, Politicians from Detroit, Michigan, US Democratic Party politicians
Nury Martinez	1973 births, Living people, Politicians from Los Angeles, California, US Democratic Party politicians
Yoshio Yatsu	1934 births, 2021 deaths, Deaths from liver cancer, Japanese politicians
X-Press Pearl	2021 disasters, 2020s disasters in Asia, 2020s fires, 21st century in Sri Lanka, Fires in Asia, Indian Ocean, June 2021 events, Maritime disasters, Transport disasters in Asia
Tajadas	Venezuelan food, Caribbean, Nicaraguan culture, Colombian food, Honduran culture, Panamanian culture
Leader of the Opposition (Israel)	Israeli opposition leaders
Shelly Yachimovich	1960 births, Living people, Former Members of Knesset, HaAvoda politicians, Israeli journalists, Israeli opposition leaders, Jewish Israeli writers, Jewish women politicians, Political commentators
STAMSITE	1992 births, Internet celebrities, Living people, Swedish YouTubers
17th century BC	17th century BC
Maduro	Surnames
Meir Ya'ari	1897 births, 1987 deaths, Israeli opposition leaders, Israeli activists, Israeli educators
Isaura Abelairas	1951 births, 2021 deaths, Cancer deaths in Spain, Spanish educators, Spanish politicians
Binyamin Ben-Eliezer	1936 births, 2016 deaths, Deaths from kidney disease, Israeli opposition leaders, Naturalized citizens of Israel, Iraqi politicians, Iraqi military people, Israeli generals, People from Tel Aviv
Shaul Mofaz	1948 births, Living people, Naturalized citizens of Israel, Iranian military people, Iranian politicians, Israeli military people, Israeli opposition leaders, Kadima politicians, People from Tehran
1491	1491
Journey (2012 video game)	2012 video games
Gluconeogenesis	Metabolism
Yorai Lahav-Hertzano	1988 births, Living people, Gay Jews, Israeli LGBT people, Jewish Israeli politicians, LGBT politicians, Members of Knesset, People from Tel Aviv, Tel Aviv University alumni, Yesh Atid politicians
University of Botswana	1982 establishments in Africa, Botswana, Colleges and universities in Africa
Linah Mohohlo	1952 births, 2021 deaths, Botswana people, African businesspeople, African writers, Academics, Economists, Bankers, Deaths from the COVID-19 pandemic

