Wall plug	Hardware (mechanical)
Frank Kameny	1925 births, 2011 deaths, American LGBT rights activists, Cardiovascular disease deaths in the United States, Gay men, LGBT people from New York, People from New York City
Carlos Alberto Arroyo del Río	1893 births, 1969 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Guayaquil
Julio Enrique Moreno	1879 births, 1952 deaths, Deaths from myocardial infarction, Presidents of Ecuador
Andrés Córdova	1892 births, 1983 deaths, Deaths from natural causes, Presidents of Ecuador, People from Quito
Aurelio Mosquera	1883 births, 1939 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Quito
Manuel María Borrero	1883 births, 1975 deaths, Deaths from natural causes, Presidents of Ecuador
Alberto Enríquez Gallo	1895 births, 1962 deaths, Deaths from stroke, Presidents of Ecuador, People from Quito
Federico Páez	1876 births, 1974 deaths, Deaths from natural causes, Presidents of Ecuador, People from Quito
Antonio Pons	1897 births, 1980 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Quito
Abelardo Montalvo	1876 births, 1950 deaths, Deaths from heart failure, Presidents of Ecuador
Juan de Dios Martínez	1875 births, 1955 deaths, Presidents of Ecuador, People from Guayaquil
Alberto Guerrero Martínez	1878 births, 1941 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Quito
Carlos Freile Larrea	1876 births, 1942 deaths, Deaths from stroke, Disease-related deaths in Ecuador, People from Quito, Presidents of Ecuador
Alfredo Baquerizo	1859 births, 1951 deaths, Deaths from natural causes, Presidents of Ecuador, People from Guayaquil, Vice Presidents of Ecuador
Luis Larrea Alba	1894 births, 1979 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Guayaquil
Isidro Ayora	1879 births, 1978 deaths, Deaths from natural causes, Presidents of Ecuador, People from Guayaquil
Gonzalo Córdova	1863 births, 1928 deaths, Presidents of Ecuador, People from Quito
José Luis Tamayo	1858 births, 1947 deaths, Deaths from pneumonia, Presidents of Ecuador
Fulk IV, Count of Anjou	1040s births, 1090s deaths, Counts of Anjou
Leónidas Plaza	1865 births, 1932 deaths, Deaths from myocardial infarction, Presidents of Ecuador
Francisco Andrade Marín	1841 births, 1935 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Guayaquil
Carlos Freile Zaldumbide	1851 births, 1928 deaths, Deaths from heart failure, Presidents of Ecuador
Emilio Estrada	1855 births, 1911 deaths, Deaths from heart failure, Presidents of Ecuador
Lizardo García	1844 births, 1927 deaths, Deaths from natural causes, Firefighters, People from Guayaquil, Presidents of Ecuador
Vicente Lucio Salazar	1832 births, 1896 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Quito
Luis Cordero Crespo	1833 births, 1912 deaths, Deaths from pneumonia, Presidents of Ecuador, Poets
Antonio Flores Jijón	1833 births, 1915 deaths, Deaths from pneumonia, Presidents of Ecuador, People from Quito
Pedro José Cevallos	1830 births, 1892 deaths, Deaths from myocardial infarction, Presidents of Ecuador, People from Quito
José Plácido Caamaño	1837 births, 1901 deaths, Deaths from myocardial infarction, Presidents of Ecuador, Mayors of Guayaquil
The Angel's Command	2003 books, Fantasy books
Roots (TV miniseries)	1977 television series debuts, ABC network shows, Miniseries, Emmy Award winning programs, Golden Globe Award winners, Peabody Award winners, English-language television programs
Standing ovation	Non-verbal communication, Theater
Allendale, New Jersey	Boroughs in New Jersey, 1894 establishments in the United States, 1890s establishments in New Jersey
Momoiro Clover Z	Japanese musical groups, J-pop bands, Idol groups, 2008 establishments in Asia, 2000s establishments in Japan
Division of Chifley	Electoral divisions of Australia, New South Wales, 1969 establishments in Australia
Gaya College of Engineering	Bihar, Colleges and universities in India, 2008 establishments in India
Dota 2	2013 video games, Real-time strategy video games
Echium vulcanorum	Boraginaceae, Cape Verde
Rafael Carvajal	1818 births, 1881 deaths, Presidents of Ecuador, Vice Presidents of Ecuador
Adventures of Captain Marvel	1941 movies, English-language movies, Movie serials, Movies directed by William Witney, American superhero movies
Elmore Leonard	1925 births, 2013 deaths, American television writers, Cardiovascular disease deaths in the United States, Deaths from stroke, Disease-related deaths in Michigan, Screenwriters from Louisiana, Screenwriters from Michigan, Writers from Detroit, Michigan, Writers from New Orleans, Louisiana
Enoch	Old Testament people
Ted Post	1918 births, 2013 deaths, Deaths from natural causes, American television directors, Movie directors from New York, Movie producers from New York
Pupusa	El Salvador, Breads
Kate Wilson Sheppard	1847 births, 1934 deaths, People from Liverpool, Civil rights activists
Escape from Alcatraz (movie)	1979 movies, 1970s action movies, American thriller movies, American action movies, Movies directed by Don Siegel
Bill Gold	1921 births, 2018 deaths, Deaths from Alzheimer's disease, American artists, People from New York City
Whina Cooper	1895 births, 1994 deaths, Knights and Dames Commander of the Order of the British Empire, New Zealand Māori people
Ellen Albertini Dow	1913 births, 2015 deaths, Actors from Pennsylvania, American movie actors, American centenarians, American television actors
Westerly, Rhode Island	Towns in Rhode Island, 1669 establishments, 1660s establishments in the Thirteen Colonies
Atari 7800	Video game consoles, Atari hardware
Division of La Trobe	Electoral divisions of Australia, Victoria, Australia, 1949 establishments in Australia
Manila hostage crisis	2010 crimes, 2010s in Hong Kong, 2010s in the Philippines, 2010s murders in Asia, August events, Manila, Mass murder in Asia, Mass shootings in Asia, Mass shootings in the 2010s, Sieges
Graphic designer	Graphics, Design
Saintonge	Geography of France, Nouvelle-Aquitaine
Geoffrey II, Count of Gâtinais	1040s deaths, French nobility, Year of birth unknown, 1000s births
Populaire (movie)	2012 comedy movies, 2012 romance movies, 2010s romantic comedy movies, Belgian movies, French-language movies, French romance movies, Movies set in New York City, Movies set in the 1950s
Mehmed VI	1861 births, 1926 deaths, Sultans of the Ottoman Empire, Caliphs
Vienna Bend, Louisiana	Settlements in Natchitoches Parish, Louisiana, Census-designated places in Louisiana
Morelos Municipality, Coahuila	Municipalities of Coahuila
Municipalities of Campeche	Municipalities of Campeche
Syn (goddess)	Norse gods and goddesses
Gerðr	Norse gods and goddesses
Rindr	Norse mythology
Geoffrey IV, Count of Anjou	1070s births, 1106 deaths, Counts of Anjou
Erysimum caboverdeanum	Brassicaceae, Cape Verde
1999 Bridge Creek–Moore tornado	1999 disasters, 1999 in the United States, 20th century in Oklahoma, Tornadoes in the United States, May events
Division of Jagajaga	Electoral divisions of Australia, Victoria, Australia, 1984 establishments in Australia
Division of Mallee	Electoral divisions of Australia, Victoria, Australia, 1949 establishments in Australia
Division of Maribyrnong	Electoral divisions of Australia, Victoria, Australia, 1906 establishments in Australia
Division of McEwen	Electoral divisions of Australia, Victoria, Australia, 1984 establishments in Australia
Santorini caldera	Volcanoes of Europe, Mountains of Greece
Coptic language	Afroasiatic languages, Egypt, 17th-century disestablishments
Richard Warren	Mayflower passengers, 1580 births, 1628 deaths
Brian Sims	1978 births, Living people, American football players, LGBT people from Pennsylvania, Politicians from Pennsylvania, Gay men, LGBT politicians, LGBT sportspeople
Psychopathology	Medicine, Psychiatry, Psychology
Sid Bernstein	1918 births, 2013 deaths, Deaths from natural causes, People from New York City
Lee Thompson Young	1984 births, 2013 deaths, Actors who committed suicide, Actors from South Carolina, American movie actors, American television actors, American voice actors, Suicides in California
Nickelodeon (Italian TV channel)	Nickelodeon, Italy, 2004 establishments in Italy
Gyrocompass	Navigation, Tools
Division of McMillan	Former electoral divisions of Australia, Victoria, Australia, 1949 establishments in Australia
Michael Mifsud	1981 births, Living people, Maltese footballers
Division of Melbourne Ports	Former electoral divisions of Australia, Victoria, Australia, 1901 establishments in Australia
Coburger Hütte	Tyrol (state)
Seebensee	Lakes of Austria, Tyrol (state)
Lady with an Ermine	Paintings by Leonardo da Vinci, 15th century paintings
Mixed forest	Forests, Biomes
Ancient woodland	Forests of the United Kingdom, England
Bluebell wood	Forests of Europe, Flowers
Ardennes (forest)	Forests of Belgium, Forests of France, Geography of Belgium, Geography of Luxembourg, Grand Est, Hainaut (province), Liège (province), Luxembourg (Belgium), Mountain ranges, Mountains of Europe, Mountains of France, Namur (province), Wallonia
Ginevra de' Benci	Paintings by Leonardo da Vinci, 15th century paintings
Auguste Jean Baptiste Chevalier	Botanists, French botanists, Explorers, 1873 births, 1956 deaths
Fatin Shidqia	Indonesian singers, 1996 births, Living people, The X Factor contestants
Oh! Susanna	19th century American songs, Compositions by Stephen Foster
Pilliga forest	Geography of New South Wales, Forests of Australia, Protected areas of New South Wales
Beautiful Dreamer	19th century American songs, Compositions by Stephen Foster
Box-Ironbark forest	Ecosystems, Geography of Victoria, Australia, Forests of Australia
Ironbark	Trees of Australia, Eucalyptus
Belanglo State Forest	Protected areas of New South Wales, Forests of Australia
Wombat State Forest	Protected areas of Victoria (Australia), Forests of Australia
Kaiju	Movie characters, Monsters, Japanese culture
Liz Smith (actress)	1921 births, 2016 deaths, Actors from Lincolnshire, English movie actors, English stage actors, English television actors, English voice actors
Eileen Essell	1922 births, English movie actors, English television actors, English stage actors, English voice actors, Actors from London
Jetty Paerl	1921 births, 2013 deaths, Deaths from natural causes, Dutch singers, People from Amsterdam
Gilbert Taylor	1914 births, 2013 deaths, British cinematographers, Deaths from natural causes, People from Hertfordshire
Orville Redenbacher	1907 births, 1995 deaths, Deaths from myocardial infarction, Brazil, Indiana, Accidental deaths by drowning, American botanists, Businesspeople from Indiana
